		capillary endothelial cell	cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	endothelial cell of artery	endothelial cell of lymphatic vessel	endothelial cell of vascular tree	erythrocyte	fast muscle cell	macrophage	mast cell	mature nk t cell	mesenchymal stem cell	mesothelial cell	pericyte cell	skeletal muscle satellite stem cell	slow muscle cell	smooth muscle cell	t cell	tendon cell
226750	Kohlschutter-tonz Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614501	Psychomotor Retardation, Epilepsy, And Craniofacial Dysmorphism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618087	Spinocerebellar Ataxia 42, Early-onset, Severe, With Neurodevelopmental Deficits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614482	Congenital Cataracts, Hearing Loss, And Neurodegeneration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS116860	Cerebral cavernous malformations	11	0	0	7	3	0	0	0	0	0	0	0	0	14	0	0	0	0	0
PS604273	Mitochondrial complex V (ATP synthase) deficiency, nuclear type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS610542	Myasthenic syndrome, congenital, with tubular aggregates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604168	Congenital Cataracts, Facial Dysmorphism, And Neuropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617807	Neurodevelopmental Disorder With Ataxic Gait, Absent Speech, And Decreased Cortical White Matter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS269500	Sclerosteosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253300	Spinal Muscular Atrophy, Type I	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0
618363	Short Stature, Amelogenesis Imperfecta, And Skeletal Dysplasia With Scoliosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231670	Glutaric Acidemia I	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
618760	Neurodevelopmental Disorder With Hypotonia And Autistic Features With Or Without Hyperkinetic Movements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618142	Microcephaly, Facial Dysmorphism, Renal Agenesis, And Ambiguous Genitalia Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607641	Neuronopathy, Distal Hereditary Motor, Type Viib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608836	Carnitine Palmitoyltransferase Ii Deficiency, Lethal Neonatal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610015	Glutamine Deficiency, Congenital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611722	Krabbe Disease, Atypical, Due To Saposin A Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS147920	Kabuki syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617044	Short Stature, Developmental Delay, And Congenital Heart Defects	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301830	Spinal Muscular Atrophy, X-linked 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211750	C Syndrome	1	0	1	1	2	0	1	1	0	3	0	1	0	1	0	3	1	0	1
PS214100	Peroxisome biogenesis disorder	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	10	3	0	0
618089	Intellectual Developmental Disorder With Dysmorphic Facies And Behavioral Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610377	Mevalonic Aciduria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS124000	Mitochondrial complex III deficiency, nuclear type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS256040	Proteosome-associated autoinflammatory syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS145980	Hypocalciuric hypercalcemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610006	2-@methylbutyryl-coa Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608358	Myopathy, Myosin Storage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
251260	Nijmegen Breakage Syndrome	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
300842	Mcleod Syndrome	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
618162	Spondyloepimetaphyseal Dysplasia, Krakow Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214800	Charge Syndrome	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
619080	Kilquist Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS147060	Hyper-IgE recurrent infection syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
606353	Primary Lateral Sclerosis, Juvenile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617183	Harel-yoon Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS128100	Dystonia	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2
618060	Intellectual Developmental Disorder With Or Without Epilepsy Or Cerebellar Ataxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617709	Neurodevelopmental Disorder With Microcephaly, Ataxia, And Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS603511	Muscular dystrophy, limb-girdle, autosomal dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0
186580	Blau Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PS242860	Immunodeficiency-centromeric instability-facial anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114290	Campomelic Dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
611881	Glycogen Storage Disease Xii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS617186	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
617913	Neurodevelopmental Disorder With Microcephaly, Cataracts, And Renal Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS192600	Cardiomyopathy, familial hypertrophic	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	15	0	0	0
259775	Raine Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615673	Myopathy With Extrapyramidal Signs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607625	Niemann-pick Disease, Type C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105120	Amyloidosis V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613076	Myopathy, Mitochondrial Progressive, With Congenital Cataract, Hearing Loss, And Developmental Delay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616789	Mental Retardation And Distinctive Facial Features With Or Without Cardiac Defects	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617864	Neurodevelopmental Disorder With Or Without Seizures And Gait Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618331	Encephalopathy, Progressive, Early-onset, With Episodic Rhabdomyolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS143880	Hypercalcemia, infantile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616007	Cataracts, Growth Hormone Deficiency, Sensory Neuropathy, Sensorineural Hearing Loss, And Skeletal Dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607855	Muscular Dystrophy, Congenital Merosin-deficient, 1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
617710	Neurodevelopmental Disorder, Mitochondrial, With Abnormal Movements And Lactic Acidosis, With Or Without Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618604	Snijders Blok-fisher Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615879	Tatton-brown-rahman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS135500	Zimmermann-Laband syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207800	Argininemia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220500	Doors Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS300049	Periventricular nodular heterotopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617303	Mucopolysaccharidosis-plus Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618384	Leukoencephalopathy, Acute Reversible, With Increased Urinary Alpha-ketoglutarate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609924	Aminoacylase 1 Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188400	Digeorge Syndrome	0	4	3	0	3	0	0	0	0	1	2	0	0	0	0	0	1	5	0
PS123700	Cutis laxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PS239300	Hyperphosphatasia with mental retardation syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608688	Aicar Transformylase/imp Cyclohydrolase, Deficiency Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609541	Spastic Paraplegia, Optic Atrophy, And Neuropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252500	Mucolipidosis Ii Alpha/beta	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	1
617158	Myopathy, Distal, With Rimmed Vacuoles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
618330	Global Developmental Delay With Or Without Impaired Intellectual Development	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
223800	Dyggve-melchior-clausen Disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274270	Dihydropyrimidine Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617752	Mental Retardation, Autosomal Dominant 49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613179	Immunodeficiency Due To Purine Nucleoside Phosphorylase Deficiency	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
231680	Multiple Acyl-coa Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS303350	Spastic paraplegia	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	4	0	0	1
PS242300	Ichthyosis, congenital, autosomal recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS203300	Hermansky-Pudlak syndrome	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
606054	Propionic Acidemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618975	Myopathy, Congenital, With Diaphragmatic Defects, Respiratory Insufficiency, And Dysmorphic Facies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
617412	Macinnes Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614105	Methylmalonate Semialdehyde Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231550	Achalasia-addisonianism-alacrima Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618875	Seizures, Early-onset, With Neurodegeneration And Brain Calcification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266150	Pyruvate Carboxylase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS249270	Thiamine-responsive dysfunction syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268800	Sandhoff Disease	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0
PS234200	Neurodegeneration with brain iron accumulation	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PS145600	Malignant hyperthermia	1	0	0	0	0	0	1	13	0	0	0	1	5	0	1	11	2	0	1
616920	Heart And Brain Malformation Syndrome	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0
617481	Neurodevelopmental Disorder With Microcephaly, Hypotonia, And Variable Brain Anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264700	Vitamin D-dependent Rickets, Type I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PS607432	Lissencephaly	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
616084	Sideroblastic Anemia With B-cell Immunodeficiency, Periodic Fevers, And Developmental Delay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614262	Arthrogryposis, Perthes Disease, And Upward Gaze Palsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180295	Rhabdomyosarcoma, Embryonal, 2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	0	0	0	0
236250	Homocystinuria Due To Deficiency Of N(5,10)-methylenetetrahydrofolatereductase Activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255125	Myopathy With Exercise Intolerance, Swedish Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
600001	Pancreatic Agenesis And Congenital Heart Defects	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS148210	Keratitis-ichthyosis-deafness syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617516	Stankiewicz-isidor Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159950	Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618156	Squalene Synthase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618707	Neurodevelopmental Disorder With Absent Language And Variable Seizures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604320	Spinal Muscular Atrophy, Distal, Autosomal Recessive, 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618276	Neurodegeneration, Childhood-onset, With Cerebellar Atrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS253310	Lethal congenital contracture syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
183900	Spondyloepiphyseal Dysplasia Congenita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611816	Temple-baraitser Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169500	Leukodystrophy, Adult-onset, Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS158810	Bethlem myopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2
122860	Craniodiaphyseal Dysplasia, Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254940	Carey-fineman-ziter Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
270200	Sjogren-larsson Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
158901	Facioscapulohumeral Muscular Dystrophy 2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
216360	Coach Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS309530	Mental retardation, nonsyndromic, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304110	Craniofrontonasal Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS163950	Noonan syndrome	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	5
607822	Alzheimer Disease 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243605	Stromme Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228600	Fibromatosis, Juvenile Hyaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS114580	Familial candidiasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618430	Developmental Delay With Variable Intellectual Impairment And Behavioral Abnormalities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303600	Coffin-lowry Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS115200	Dilated cardiomyopathy	0	0	0	1	0	0	0	5	1	1	0	1	1	1	0	8	1	0	0
618572	Neurodevelopmental Disorder With Cerebellar Hypoplasia And Spasticity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618786	Imagawa-matsumoto Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS149400	Hyperekplexia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
212138	Carnitine-acylcarnitine Translocase Deficiency	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
227500	Factor Vii Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300100	Adrenoleukodystrophy	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
611431	Legius Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618823	Myopathy, Congenital Proximal, With Minicore Lesions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS614388	Encephalopathy due to defective mitochondrial and peroxisomal fission	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS252011	Mitochondrial complex II deficiency, nuclear type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615625	Spastic Paraplegia 72, Autosomal Recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS313900	Thrombocytopenia	0	0	0	0	2	0	1	0	1	1	1	0	1	0	0	0	0	2	0
222700	Lysinuric Protein Intolerance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617493	Neurodevelopmental Disorder With Involuntary Movements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
617093	Growth Retardation, Intellectual Developmental Disorder, Hypotonia, And Hepatopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164300	Oculopharyngeal Muscular Dystrophy	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	0	0	0
611087	Polyhydramnios, Megalencephaly, And Symptomatic Epilepsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618155	Ophthalmoplegia, External, With Rib And Vertebral Anomalies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS300000	Opitz GBBB syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248000	Macrocephaly/megalencephaly Syndrome, Autosomal Recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617393	Neurodevelopmental Disorder With Epilepsy, Cataracts, Feeding Difficulties, And Delayed Brain Myelination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270400	Smith-lemli-opitz Syndrome	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
308300	Incontinentia Pigmenti	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PS201000	Carpenter syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS252010	Mitochondrial complex I deficiency, nuclear type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255110	Carnitine Palmitoyltransferase Ii Deficiency, Late-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS249000	Meckel syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271980	Succinic Semialdehyde Dehydrogenase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205400	Tangier Disease	0	0	0	1	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0
