		cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	cd24 neutrophil	erythrocyte	erythroid progenitor	granulocyte	hematopoietic stem cell	macrophage	memory b cell	monocyte	myeloid progenitor	naive b cell	nampt neutrophil	neutrophil	nk cell	plasma cell
607625	Niemann-pick Disease, Type C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613978	Hemoglobin H Disease	0	0	0	12	18	0	1	0	0	0	0	0	0	0	0	0
616871	Myeloproliferative/lymphoproliferative Neoplasms, Familial (multiple Types), Susceptibility To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616100	Autoimmune Lymphoproliferative Syndrome, Type V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193220	Vitreoretinochoroidopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS607594	Immunodeficiency, common variable	3	4	0	0	2	3	3	0	233	4	2	104	0	0	4	29
612631	Adenylate Kinase Deficiency, Hemolytic Anemia Due To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS615952	Autoimmune disease, multisystem, infantile-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602079	Trimethylaminuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614380	Complement Component 4a Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS300049	Periventricular nodular heterotopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617303	Mucopolysaccharidosis-plus Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614034	Heme Oxygenase-1 Deficiency	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
610798	Immunodeficiency Due To Defect In Mapbp-interacting Protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613179	Immunodeficiency Due To Purine Nucleoside Phosphorylase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS242300	Ichthyosis, congenital, autosomal recessive	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PS203300	Hermansky-Pudlak syndrome	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
615789	Short Stature With Microcephaly And Distinctive Facies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608971	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-positive, Nk Cell-positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
606054	Propionic Acidemia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PS249270	Thiamine-responsive dysfunction syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616084	Sideroblastic Anemia With B-cell Immunodeficiency, Periodic Fevers, And Developmental Delay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617388	Autoinflammation With Arthritis And Dyskeratosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250790	Methemoglobinemia And Ambiguous Genitalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235700	Hexokinase Deficiency Hemolytic Anemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175050	Juvenile Polyposis/hereditary Hemorrhagic Telangiectasia Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236200	Homocystinuria Due To Cystathionine Beta-synthase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193400	Von Willebrand Disease	0	0	0	1	2	1	1	0	0	2	2	0	0	0	1	2
PS114580	Familial candidiasis	0	0	0	0	0	4	0	0	3	0	0	0	0	1	1	0
PS163950	Noonan syndrome	0	0	0	0	3	0	2	0	0	0	3	0	0	0	0	0
227500	Factor Vii Deficiency	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0
PS605432	Radioulnar synostosis with amegakaryocytic thrombocytopenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS605552	Abdominal obesity-metabolic syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152700	Systemic Lupus Erythematosus	0	0	0	1	2	3	0	1	2	1	0	2	0	7	0	2
243500	Isovaleric Acidemia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
614470	Ras-associated Autoimmune Lymphoproliferative Syndrome Type Iv, Somatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618806	T-cell Lymphopenia, Infantile, With Or Without Nail Dystrophy, Autosomal Dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274150	Thrombotic Thrombocytopenic Purpura, Congenital	0	0	0	1	0	3	0	0	4	0	1	2	0	2	0	2
PS313900	Thrombocytopenia	0	0	0	1	7	11	3	1	1	2	8	0	0	3	0	2
222700	Lysinuric Protein Intolerance	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
308300	Incontinentia Pigmenti	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1
PS275200	Hypothyroidism, congenital, nongoitrous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612300	Hemolytic Anemia, Cd59-mediated, With Or Without Immune-mediated Polyneuropathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280000	Zunich Neuroectodermal Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS601678	Bartter syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306900	Hemophilia B	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	1
PS177900	Psoriasis	0	0	0	1	0	7	0	2	1	4	0	2	1	10	0	1
170100	Prolidase Deficiency	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
216340	Cleidocranial Dysplasia With Micrognathia, Absent Thumbs, And Distal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604928	Wolfram Syndrome 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614038	Lymphedema, Primary, With Myelodysplasia	0	0	0	0	11	0	3	0	0	1	20	2	0	0	4	0
PS300755	Immunodeficiency (Select Examples)	2	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0
PS308240	Lymphoproliferative syndrome	8	6	0	0	5	6	1	0	19	0	5	18	0	1	19	15
PS608583	Atrial fibrillation, familial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300990	Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306700	Hemophilia A	0	0	0	0	0	1	0	0	5	1	0	3	0	0	0	0
PS212065	Congenital disorders of glycosylation, type I	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
604173	Poikiloderma With Neutropenia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PS151623	Li-Fraumeni syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609135	Aplastic Anemia	1	1	1	11	71	68	52	0	0	3	34	2	0	1	7	9
613949	Okt4 Epitope Deficiency 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS127550	Dyskeratosis congenita	0	0	0	0	4	0	6	0	0	0	5	1	0	0	0	0
300367	Dyserythropoietic Anemia With Thrombocytopeniamacrothrombocytopenia, X-linked, Included	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603909	Autoimmune Lymphoproliferative Syndrome, Type Iia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS226400	Epidermodysplasia verruciformis, susceptibility to	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
613065	Leukemia, Acute Lymphocytic, Susceptibility To, 1	0	1	0	0	2	0	0	0	1	0	2	1	0	0	3	0
193300	Von Hippel-lindau Syndrome	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0
266130	Glutathione Synthetase Deficiency	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
612653	Spherocytosis, Type 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251100	Methylmalonic Aciduria, Cbla Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS210600	Seckel syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS603075	Macular degeneration, age-related	0	0	0	0	0	0	0	4	0	1	1	0	0	2	0	0
PS252270	Monosomy 7 myelodysplasia and leukemia syndrome	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0
616651	Roifman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230600	Gm1-gangliosidosis, Type Ii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
601705	T-cell Immunodeficiency, Congenital Alopecia, And Nail Dystrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS105650	Diamond-Blackfan anemia	0	0	0	0	110	1	6	0	0	0	5	0	0	0	0	0
133180	Erythroleukemia, Familial, Susceptibility To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618278	Fibrosis, Neurodegeneration, And Cerebral Angiomatosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209920	Bare Lymphocyte Syndrome, Type Ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274000	Thrombocytopenia-absent Radius Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309580	Mental Retardation-hypotonic Facies Syndrome, X-linked, 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS609060	Combined oxidative phosphorylation deficiency	1	1	0	0	2	0	1	0	1	1	3	2	0	0	3	2
618092	Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-cell Abnormalities	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
245200	Krabbe Disease	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0
238700	Hyperlysinemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618343	Polymicrogyria With Or Without Vascular-type Ehlers-danlos Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS158350	Cowden disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613329	Plasminogen Activator Inhibitor-1 Deficiency	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
607785	Juvenile Myelomonocytic Leukemia	0	0	0	0	14	3	3	0	0	0	36	0	0	0	0	0
230500	Gm1-gangliosidosis, Type I	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
266140	Pyropoikilocytosis, Hereditary	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PS251290	Pseudo-TORCH syndrome	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PS257300	Mosaic variegated aneuploidy syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166900	Ovalocytosis, Hereditary Hemolytic	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
613759	Infections, Recurrent, With Encephalopathy, Hepatic Dysfunction, And Cardiovascular Malformations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232220	Glycogen Storage Disease Ib	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0
PS227650	Fanconi anemia	1	0	0	1	49	3	47	0	1	1	40	1	0	1	2	1
180200	Retinoblastoma	0	0	0	0	4	4	2	0	0	0	3	0	0	0	1	1
601626	Leukemia, Acute Myeloid	0	0	0	0	9	23	25	0	0	15	290	0	1	6	18	2
200100	Abetalipoproteinemia	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
209300	Atransferrinemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116920	Leukocyte Adhesion Deficiency, Type I	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0
208900	Ataxia-telangiectasia	4	4	0	0	3	3	10	0	10	0	9	14	0	1	2	0
231900	Glutathione Synthetase Deficiency Of Erythrocytes, Hemolytic Anemiadue To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245900	Lecithin:cholesterol Acyltransferase Deficiency	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
613563	Noonan Syndrome-like Disorder With Or Without Juvenile Myelomonocyticleukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS224120	Anemia, congenital dyserythropoietic	0	0	0	10	10	2	1	0	0	0	3	0	0	0	0	0
275630	Chanarin-dorfman Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232800	Glycogen Storage Disease Vii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612740	Porphyria, Acute Hepatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102900	Adenosine Triphosphate, Elevated, Of Erythrocytes	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
251000	Methylmalonic Aciduria Due To Methylmalonyl-coa Mutase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615512	Triosephosphate Isomerase Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206200	Iron-refractory Iron Deficiency Anemia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
618336	Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, Genital Anomalies, And Immunodeficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
617099	Autoinflammation, Panniculitis, And Dermatosis Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS202700	Neutropenia, severe congenital	0	0	0	0	3	29	4	0	3	0	67	0	4	15	1	0
231000	Gaucher Disease, Type Iii	0	0	0	0	6	0	3	7	1	3	4	1	0	2	0	6
243150	Gastrointestinal Defects And Immunodeficiency Syndrome	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	3
604290	Aceruloplasminemiahypoceruloplasminemia, Included	0	0	0	0	2	0	1	0	0	1	0	0	0	2	2	0
301015	Hemolytic Anemia, Congenital, X-linked	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0
300322	Lesch-nyhan Syndrome	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
PS260400	Schwachman-Diamond syndrome	0	0	1	0	2	4	3	0	0	0	11	0	0	3	0	0
181000	Sarcoidosis, Susceptibility To, 1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PS187950	Thrombocythemia	0	0	0	0	99	23	14	1	0	2	76	0	0	6	1	8
270970	Spherocytosis, Autosomal Recessive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS153100	Lymphatic malformation	5	3	0	0	0	0	1	1	8	0	4	4	0	0	1	7
616914	Marfan Lipodystrophy Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300908	Anemia, Nonspherocytic Hemolytic, Due To G6pd Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612416	Factor Xi Deficiency	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0
214500	Chediak-higashi Syndrome	0	0	0	1	1	18	1	0	0	2	1	0	0	19	8	3
250250	Cartilage-hair Hypoplasia	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1
617780	Combined Immunodeficiency And Megaloblastic Anemia With Or Without Hyperhomocysteinemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604131	Alpha-thalassemia	0	0	0	20	59	0	2	0	0	0	2	1	0	0	0	0
PS619115	Combined osteogenesis imperfecta and Ehlers-Danlos syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608957	Cd8 Deficiency, Familial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616638	Smith-kingsmore Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615486	Interstitial Lung And Liver Disease	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
PS221900	Persistent hyperplastic primary vitreous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS184255	Spondylometaphyseal dysplasia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271400	Asplenia, Isolated Congenital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608068	Neutrophilic Dermatosis, Acute Febrile	0	0	0	0	0	5	0	0	0	0	2	0	0	129	1	0
601457	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-negative, Nk Cell-positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300653	Phosphoglycerate Kinase 1 Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
605309	Macrocephaly/autism Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257200	Niemann-pick Disease, Type A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228960	Flaujeac Factor Deficiency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS231200	Bleeding disorder, platelet-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611773	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
614286	Myelodysplastic Syndrome	1	2	1	2	122	56	45	0	0	4	206	3	0	15	11	6
230900	Gaucher Disease, Type Ii	0	0	0	0	6	0	3	7	1	3	4	1	0	2	0	6
147750	Ivic Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277900	Wilson Disease	0	0	0	1	0	0	0	3	0	1	0	0	0	1	1	1
PS308350	Developmental and epileptic encephalopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS600462	Myopathy, lactic acidosis, and sideroblastic anemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208400	Aspartylglucosaminuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304790	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-linked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS178600	Pulmonary hypertension, primary	0	0	0	2	2	0	0	0	2	0	4	1	0	0	0	2
PS187300	Telangiectasia, hereditary hemorrhagic	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PS212066	Congenital disorders of glycosylation, type II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS607634	Osteopetrosis, autosomal dominant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607626	Ichthyosis, Leukocyte Vacuoles, Alopecia, And Sclerosing Cholangitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS245480	Specific granule deficiency	0	0	0	0	1	8	0	0	0	0	2	0	0	12	0	0
614857	Methylmalonic Aciduria And Homocystinuria, Cblj Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131300	Camurati-engelmann Disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242840	Immunodeficiency With Cleft Lip/palate, Cataract, Hypopigmentation,and Absent Corpus Callosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613554	Von Willebrand Disease, Type 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260920	Hyper-igd Syndrome	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0
230000	Fucosidosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613112	Macrothrombocytopenia, Autosomal Dominant, Tubb1-related	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS189800	Preeclampsia/eclampsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602782	Histiocytosis-lymphadenopathy Plus Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618398	T-cell Lymphoma, Subcutaneous Panniculitis-like	2	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0
606593	Lig4 Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217000	Complement Component 2 Deficiency	0	0	0	0	0	3	0	2	0	1	0	0	0	1	0	0
613070	Liver Failure, Acute Infantile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616452	B-cell Expansion With Nfkb And T-cell Anergy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277480	Von Willebrand Disease, Recessive Form	0	0	0	0	2	1	1	1	0	2	2	0	0	0	1	3
PS210250	Sitosterolemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230650	Gm1-gangliosidosis, Type Iii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
618805	Triokinase And Fmn Cyclase Deficiency Syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS613658	Rajab interstitial lung disease with brain calcifications	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601399	Platelet Disorder, Familial, With Associated Myeloid Malignancy	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
609069	Pancreatic And Cerebellar Agenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618892	Harderoporphyria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612840	Leukocyte Adhesion Deficiency, Type Iii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
618999	Autoinflammation, Immune Dysregulation, And Eosinophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608013	Gaucher Disease, Perinatal Lethal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267500	Reticular Dysgenesia	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
PS609192	Loeys-Dietz syndrome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PS256300	Nephrotic syndrome	0	0	0	3	0	0	0	0	5	2	0	1	0	0	2	6
236270	Homocystinuria-megaloblastic Anemia Due To Defect In Cobalamin Metabolism,cble Complementation Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
615934	Sting-associated Vasculopathy, Infantile-onset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
619004	Deeah Syndrome	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0
191900	Muckle-wells Syndrome	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0
PS300818	Paroxysmal nocturnal hemoglobinuria	2	5	18	37	31	34	22	0	1	6	10	4	0	3	4	1
618213	Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
