Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
133180	"Erythroleukemia, Familial, Susceptibility To"	190151	ERBB3	Erbb3	1	1			0	0			
133780	Exudative Vitreoretinopathy 1	604579	FZD4	Fzd4	1	1	PS133780	Exudative vitreoretinopathy	0	0			
139090	Gray Platelet Syndrome	614169	NBEAL2	Nbeal2	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
140700	Heinz Body Anemias	141900	HBB	Hbb-bt	1	1			1	0	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
140700	Heinz Body Anemias	141900	HBB	Hbb-bs	1	1			1	0	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
140700	Heinz Body Anemias	141850	HBA2	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
140700	Heinz Body Anemias	141850	HBA2	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
140700	Heinz Body Anemias	141800	HBA1	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
140700	Heinz Body Anemias	141800	HBA1	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
141749	Fetal Hemoglobin Quantitative Trait Locus 1	141900	HBB	Hbb-bt	1	1			1	0			
141749	Fetal Hemoglobin Quantitative Trait Locus 1	141900	HBB	Hbb-bs	1	1			1	0			
141749	Fetal Hemoglobin Quantitative Trait Locus 1	142200	HBG1		1	1			0	0			
141749	Fetal Hemoglobin Quantitative Trait Locus 1	142250	HBG2	Hbb-y	1	1			0	0			
142680	"Periodic Fever, Familial, Autosomal Dominant"	191190	TNFRSF1A	Tnfrsf1a	1	1			1	1	Yes		
145600	"Malignant Hyperthermia, Susceptibility To, 1"	180901	RYR1	Ryr1	1	1	PS145600	Malignant hyperthermia	0	1	No		
147060	Hyper-ige Recurrent Infection Syndrome	102582	STAT3	Stat3	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes		
147750	Ivic Syndrome	607343	SALL4	Sall4	1	1			0	0			
147920	Kabuki Syndrome	602113	KMT2D	Kmt2d	1	1	PS147920	Kabuki syndrome	1	0			
150550	"Periodic Fever, Immunodeficiency, And Thrombocytopenia Syndrome"	604734	WDR1	Wdr1	1	1			1	1	Yes	['cd24.neutrophil']	
151623	Li-fraumeni Syndrome 1	191170	TP53	Trp53	1	1	PS151623	Li-Fraumeni syndrome	1	1	Yes	['myeloid.progenitor']	
152700	Systemic Lupus Erythematosus	600716	PTPN22	Ptpn22	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	146790	FCGR2A	Fcgr3	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	604590	FCGR2B	Fcgr2b	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	123890	CTLA4	Ctla4	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	606609	TREX1	Trex1	1	1			0	1	Yes		
152700	Systemic Lupus Erythematosus	125505	DNASE1	Dnase1	1	1			1	0	Yes		
153670	"Bernard-soulier Syndrome, Benign Autosomal Dominant"	606672	GP1BA	Gp1ba	1	1			1	0			
154800	Mast Cell Disease	164920	KIT	Kit	1	1			1	1	Yes	"['erythroid.progenitor', 'myeloid.progenitor']"	
155100	May-hegglin Anomaly	160775	MYH9	Myh9	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
158310	"Mucoepithelial Dysplasia, Hereditary"	184756	SREBF1	Srebf1	1	1			1	1	NA		
158350	Cowden Disease	601728	PTEN	Pten	1	1	PS158350	Cowden disease	1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
159550	Ataxia-pancytopenia Syndrome	611170	SAMD9L	Samd9l	1	1			1	1	Yes	['cd24.neutrophil']	"['band.form.neutrophil', 'segmented.neutrophil.of.bone.marrow']"
162800	Cyclic Hematopoiesis	130130	ELANE	Elane	1	1			1	1	Yes	['granulocyte']	
163950	Noonan Syndrome 1	176876	PTPN11	Ptpn11	1	1	PS163950	Noonan syndrome	1	1	Yes		
166200	"Osteogenesis Imperfecta, Type I"	120150	COL1A1	Col1a1	1	1	PS166200	Osteogenesis imperfecta	0	0			
166600	"Osteopetrosis, Autosomal Dominant 2"	602727	CLCN7	Clcn7	1	1	PS607634	"Osteopetrosis, autosomal dominant"	1	0		"['cd24.neutrophil', 'neutrophil']"	['segmented.neutrophil.of.bone.marrow']
166900	"Ovalocytosis, Hereditary Hemolytic"	109270	SLC4A1	Slc4a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
167800	"Pancreatitis, Hereditary"	601405	CTRC	Ctrc	1	1			0	0			
167800	"Pancreatitis, Hereditary"	167790	SPINK1	Spink1	1	1			0	0			
167800	"Pancreatitis, Hereditary"	602421	CFTR	Cftr	1	1			0	0			
167800	"Pancreatitis, Hereditary"	276000	PRSS1	Try10	1	1			0	0			
167800	"Pancreatitis, Hereditary"	601564	PRSS2	Prss2	1	1			0	0			
169400	Pelger-huet Anomaly	600024	LBR	Lbr	1	1			1	1	Yes	['cd24.neutrophil']	
170100	Prolidase Deficiency	613230	PEPD	Pepd	1	1			1	1	Yes		
171300	Pheochromocytoma	605995	KIF1B	Kif1b	1	1			1	1	NA		
171300	Pheochromocytoma	185470	SDHB	Sdhb	1	1			1	1	NA		
171300	Pheochromocytoma	613403	TMEM127	Tmem127	1	1			1	1	NA		
171300	Pheochromocytoma	608537	VHL	Vhl	1	1			1	1	NA		
171300	Pheochromocytoma	600837	GDNF	Gdnf	1	1			0	0	NA		
171300	Pheochromocytoma	164761	RET	Ret	1	1			0	0	NA		
171300	Pheochromocytoma	602690	SDHD	Sdhd	1	1			1	1	NA		
171300	Pheochromocytoma	154950	MAX	Max	1	1			1	1	NA		
174000	Medullary Cystic Kidney Disease 1	158340	MUC1		1	1	PS162000	Tubulointerstitial kidney disease	1	0		['plasma.cell']	['plasma.cell']
174900	"Juvenile Polyposis Syndrome Juvenile Intestinal Polyposis Polyposis, Familial, Of Entire Gastrointestinal Tract Juvenile Polyposis Of Stomach, Included Juvenile Polyposis Coli, Included"	601299	BMPR1A	Bmpr1a	1	1			0	0	Yes		
174900	"Juvenile Polyposis Syndrome Juvenile Intestinal Polyposis Polyposis, Familial, Of Entire Gastrointestinal Tract Juvenile Polyposis Of Stomach, Included Juvenile Polyposis Coli, Included"	600993	SMAD4	Smad4	1	1			1	1	Yes		
175050	Juvenile Polyposis/hereditary Hemorrhagic Telangiectasia Syndrome	600993	SMAD4	Smad4	1	1			1	1	Yes		
175200	Peutz-jeghers Syndrome	602216	STK11	Stk11	1	1			1	1	Yes	['erythrocyte']	['proerythroblast']
175780	Brain Small Vessel Disease 1 With Or Without Ocular Anomalies	120130	COL4A1	Col4a1	1	1	PS175780	Brain small vessel disease	0	0			
176860	"Thrombophilia, Hereditary, Due To Protein C Deficiency, Autosomaldominant"	612283	PROC	Proc	1	1	PS188050	Thrombophilia	0	0	Yes		
177000	"Protoporphyria, Erythropoietic, 1"	612386	FECH	Fech	1	1	PS177000	"Protoporphyria, erythropoietic"	1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
177820	Pseudo-von Willebrand Disease	606672	GP1BA	Gp1ba	1	1	PS231200	"Bleeding disorder, platelet-type"	1	0	Yes		
177850	"Pseudoxanthoma Elasticum, Forme Frustepseudoxanthoma Elasticum, Heterozygous, Included"	603234	ABCC6	Abcc6	1	1			0	0			
178600	"Pulmonary Hypertension, Primary, 1"	600799	BMPR2	Bmpr2	1	1	PS178600	"Pulmonary hypertension, primary"	1	0			
180000	"Retinal Arteries, Tortuosity Of"	120130	COL4A1	Col4a1	1	1			0	0			
180200	Retinoblastoma	614041	RB1	Rb1	1	1			1	1	Yes	['naive.b.cell']	
180849	Rubinstein-taybi Syndrome 1	600140	CREBBP	Crebbp	1	1	PS180849	Rubinstein-Taybi syndrome	1	1	No		
181000	"Sarcoidosis, Susceptibility To, 1"	142857	HLA-DRB1		1	1			1	0			
182170	"Anemia, Sideroblastic, Autosomal Dominant"	600548	HSPA9	Hspa9	1	1	PS300751	"Anemia, Sideroblastic"	1	1	Yes	['erythrocyte']	['erythroblast']
182900	"Spherocytosis, Hereditary"	612641	ANK1	Ank1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
185000	Overhydrated Hereditary Stomatocytosis	180297	RHAG	Rhag	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
185020	Cryohydrocytosis	109270	SLC4A1	Slc4a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
185070	Stormorken Syndrome	605921	STIM1	Stim1	1	1			1	1	Yes		
187300	"Telangiectasia, Hereditary Hemorrhagic, Type 1"	131195	ENG	Eng	1	1	PS187300	"Telangiectasia, hereditary hemorrhagic"	1	1	Yes	['erythroid.progenitor']	
187800	"Bleeding Disorder, Platelet-type, 16"	607759	ITGA2B	Itga2b	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
187800	"Bleeding Disorder, Platelet-type, 16"	173470	ITGB3	Itgb3	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
187900	"Thrombasthenia-thrombocytopenia, Hereditary"	604383	GFI1B	Gfi1b	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
187950	Thrombocythemia 1	600044	THPO	Thpo	1	1	PS187950	Thrombocythemia	0	0	Yes		
188000	Thrombocytopenia 2	610855	ANKRD26	Ankrd26	1	1	PS313900	Thrombocytopenia	1	1	Yes		
188050	"Thrombophiliavenous Thromboembolism, Included"	607093	MTHFR	Mthfr	1	1	PS188050	Thrombophilia	1	0	Yes		
188050	"Thrombophiliavenous Thromboembolism, Included"	134570	F13A1	F13a1	1	1	PS188050	Thrombophilia	1	1	Yes		
188050	"Thrombophiliavenous Thromboembolism, Included"	603924	HABP2	Habp2	1	1	PS188050	Thrombophilia	0	0	Yes		
188050	"Thrombophiliavenous Thromboembolism, Included"	176930	F2	F2	1	1	PS188050	Thrombophilia	0	0	Yes		
188055	Thrombophilia Due To Deficiency Of Activated Protein C Cofactor	612309	F5	F5	1	1	PS188050	Thrombophilia	1	1	Yes		
189800	Preeclampsia/eclampsia 1	163729	NOS3	Nos3	1	1	PS189800	Preeclampsia/eclampsia	0	0			
191900	Muckle-wells Syndrome	606416	NLRP3	Nlrp3	1	1			1	1	Yes		
192315	"Vasculopathy, Retinal, With Cerebral Leukodystrophy"	606609	TREX1	Trex1	1	1			0	1	No		
193220	Vitreoretinochoroidopathy	607854	BEST1	Best1	1	1			1	0			
193235	"Vitreoretinopathy, Neovascular Inflammatory"	602537	CAPN5	Capn5	1	1			0	1	No		
193300	Von Hippel-lindau Syndrome	608537	VHL	Vhl	1	1			1	1	Yes		
193300	Von Hippel-lindau Syndrome	168461	CCND1	Ccnd1	1	1			0	1	Yes		
193400	Von Willebrand Disease	613160	VWF	Vwf	1	1			1	0			
193670	Whim Syndrome	162643	CXCR4	Cxcr4	1	1			1	1	Yes		
194380	Dehydrated Hereditary Stomatocytosis With Or Without Pseudohyperkalemiaand/or Perinatal Edema	611184	PIEZO1	Piezo1	1	1			1	0			
200100	Abetalipoproteinemia	157147	MTTP	Mttp	1	1			0	0			
200150	Choreoacanthocytosis	605978	VPS13A	Vps13a	1	1			1	1	Yes		
202400	"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included"	134830	FGB	Fgb	1	1			0	0			
202400	"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included"	134820	FGA	Fga	1	1			0	0			
202400	"Afibrinogenemia, Congenitalhypofibrinogenemia, Congenital, Included"	134850	FGG	Fgg	1	1			0	0			
202700	"Neutropenia, Severe Congenital, Autosomal Dominant 1"	130130	ELANE	Elane	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
203300	Hermansky-pudlak Syndrome	604982	HPS1	Hps1	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
204200	"Ceroid Lipofuscinosis, Neuronal, 3"	607042	CLN3	Cln3	1	1	PS256730	Ceroid lipofuscinoses	1	1	Yes		
205950	"Anemia, Congenital Sideroblastic, B6-nonresponsive"	610819	SLC25A38	Slc25a38	1	1	PS300751	"Anemia, Sideroblastic"	1	1	Yes	['erythrocyte']	['erythroblast']
206100	"Anemia, Hypochromic Microcytic, With Iron Overload"	600523	SLC11A2	Slc11a2	1	1	PS206100	"Anemia, hypochromic microcytic, with iron overload"	1	1	Yes		
206200	Iron-refractory Iron Deficiency Anemia	609862	TMPRSS6	Tmprss6	1	1			0	0			
208050	Arterial Tortuosity Syndrome	606145	SLC2A10	Slc2a10	1	1			0	0			
208085	"Arthrogryposis, Renal Dysfunction, And Cholestasis"	608552	VPS33B	Vps33b	1	1	PS208085	"Arthrogryposis, renal dysfunction, and cholestasis"	0	1	No		
208400	Aspartylglucosaminuria	613228	AGA	Aga	1	1			1	1	Yes	['naive.b.cell']	
208900	Ataxia-telangiectasia	607585	ATM	Atm	1	1			1	1	Yes	['nk.cell']	
209300	Atransferrinemia	190000	TF	Trf	1	1			0	1	Yes		
209920	"Bare Lymphocyte Syndrome, Type Ii"	601863	RFX5		1	1			1	0	Yes		
209920	"Bare Lymphocyte Syndrome, Type Ii"	601861	RFXAP	Rfxap	1	1			1	1	Yes		
209920	"Bare Lymphocyte Syndrome, Type Ii"	600005	CIITA	Ciita	1	1			1	1	Yes		
209920	"Bare Lymphocyte Syndrome, Type Ii"	603200	RFXANK	Rfxank	1	1			1	1	Yes		
209950	"Immunodeficiency 27a, Mycobacteriosis, Ar"	107470	IFNGR1	Ifngr1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
210250	Sitosterolemia 1	605460	ABCG8	Abcg8	1	1	PS210250	Sitosterolemia	0	0			
210370	Bietti Crystalline Corneoretinal Dystrophy	608614	CYP4V2	Cyp4v3	1	1			1	1	Yes		
210600	Seckel Syndrome 1	601215	ATR	Atr	1	1	PS210600	Seckel syndrome	1	0			
210900	Bloom Syndrome	604610	BLM	Blm	1	1	PS210900	"Microcephaly, growth restriction and increased sister chromatid exchange"	1	1	Yes	['granulocyte']	['proerythroblast']
212050	"Candidiasis, Familial, 2"	607212	CARD9	Card9	1	1	PS114580	Familial candidiasis	1	1	Yes		
212065	"Congenital Disorder Of Glycosylation, Type Ia"	601785	PMM2	Pmm2	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	Yes		
212066	"Congenital Disorder Of Glycosylation, Type Iia"	602616	MGAT2	Mgat2	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	No		
212350	Cataract And Cardiomyopathy	610345	AGK	Agk	1	1	PS603041	Mitochondrial DNA depletion syndrome	1	1	Yes	['nk.cell']	
212750	Celiac Disease	146880	HLA-DQA1	H2-Aa	1	1	PS212750	Celiac disease	1	1	NA		
212750	Celiac Disease	604305	HLA-DQB1	H2-Ab1	1	1	PS212750	Celiac disease	1	1	NA		
214500	Chediak-higashi Syndrome	606897	LYST	Lyst	1	1			1	1	Yes	['neutrophil']	['segmented.neutrophil.of.bone.marrow']
214800	Charge Syndrome	608166	SEMA3E	Sema3e	1	1			1	0	Yes	['nampt.neutrophil']	
214800	Charge Syndrome	608892	CHD7	Chd7	1	1			1	1	Yes	['nampt.neutrophil']	
214950	"Bile Acid Synthesis Defect, Congenital, 4"	604489	AMACR	Amacr	1	1	PS607765	"Bile acid synthesis defect, congenital"	0	0	Yes		
215140	Hydrops-ectopic Calcification-moth-eaten Skeletal Dysplasia	600024	LBR	Lbr	1	1			1	1	NA		
216340	"Cleidocranial Dysplasia With Micrognathia, Absent Thumbs, And Distal"	609390	FIG4	Fig4	1	1			1	1	Yes	['cd24.neutrophil']	
216550	Cohen Syndrome	607817	VPS13B	Vps13b	1	1			1	1	Yes	['erythrocyte']	
217000	Complement Component 2 Deficiency	613927	C2	C2	1	1			0	0			
220110	Mitochondrial Complex Iv Deficiency	185620	SURF1	Surf1	1	1	PS220110	"Mitochondrial complex IV deficiency, nuclear-type"	1	1	No	['nk.cell']	
221900	"Retinal Nonattachment, Nonsyndromic Congenital"	609875	ATOH7	Atoh7	1	1	PS221900	Persistent hyperplastic primary vitreous	0	0			
222300	Wolfram Syndrome 1	606201	WFS1	Wfs1	1	1			1	1	No		
222470	Trichohepatoenteric Syndrome 1	614589	TTC37	Ttc37	1	1	PS222470	Trichohepatoenteric syndrome	1	1	Yes	['myeloid.progenitor']	
222700	Lysinuric Protein Intolerance	603593	SLC7A7	Slc7a7	1	1			1	1	Yes	"['macrophage', 'monocyte']"	
222800	Diphosphoglycerate Mutase Deficiency Of Erythrocyte	613896	BPGM	Bpgm	1	1			1	1	Yes	['erythrocyte']	['reticulocyte']
224100	"Anemia, Dyserythropoietic Congenital, Type Ii"	610512	SEC23B	Sec23b	1	1	PS224120	"Anemia, congenital dyserythropoietic"	1	1	Yes		
224120	"Anemia, Congenital Dyserythropoietic, Type Ia"	607465	CDAN1	Cdan1	1	1	PS224120	"Anemia, congenital dyserythropoietic"	0	1	Yes		
224230	"Dyskeratosis Congenita, Autosomal Recessive, 1"	606471	NOP10	Nop10	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
225320	"Ehlers-danlos Syndrome, Autosomal Recessive, Cardiac Valvular Form"	120160	COL1A2	Col1a2	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
225400	"Ehlers-danlos Syndrome, Type Vi"	153454	PLOD1	Plod1	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
225410	"Ehlers-danlos Syndrome, Type Vii, Autosomal Recessive"	604539	ADAMTS2	Adamts2	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
225750	Aicardi-goutieres Syndrome 1	606609	TREX1	Trex1	1	1	PS225750	Aicardi-Goutieres syndrome	0	1	Yes		
226300	"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy"	125240	CD55	Cd55	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
226300	"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy"	125240	CD55	Cd55b	1	1			1	0	Yes	"['nampt.neutrophil', 'neutrophil']"	
226600	"Epidermolysis Bullosa Dystrophica, Autosomal Recessive"	120120	COL7A1	Col7a1	1	1			0	0			
226600	"Epidermolysis Bullosa Dystrophica, Autosomal Recessive"	120353	MMP1	Mmp1a	1	1			0	0			
226670	Epidermolysis Bullosa Simplex With Muscular Dystrophy	601282	PLEC	Plec	1	1			1	1	Yes		
227300	"Factor V And Factor Viii, Combined Deficiency Of"	601567	LMAN1	Lman1	1	1			1	1	No		
227400	Factor V Deficiency	612309	F5	F5	1	1			1	1	No		
227500	Factor Vii Deficiency	613878	F7	F7	1	1			0	0			
227600	Factor X Deficiency	613872	F10	F10	1	1			0	1	No		
227645	"Fanconi Anemia, Complementation Group C"	613899	FANCC	Fancc	1	1	PS227650	Fanconi anemia	0	1	Yes		
227646	"Fanconi Anemia, Complementation Group D2"	613984	FANCD2	Fancd2	1	1	PS227650	Fanconi anemia	1	1	Yes		
227650	Fanconi Anemia	607139	FANCA	Fanca	1	1	PS227650	Fanconi anemia	1	1	Yes		
228000	Farber Lipogranulomatosis	613468	ASAH1	Asah1	1	1			1	1	Yes		
228960	Flaujeac Factor Deficiency	612358	KNG1	Kng2	1	1			0	0			
228960	Flaujeac Factor Deficiency	612358	KNG1	Kng1	1	1			0	0			
229050	"Folic Acid, Transport Defect Involving"	611672	SLC46A1	Slc46a1	1	1			0	0			
229100	Formiminotransferase Deficiency	606806	FTCD	Ftcd	1	1			0	0			
229600	"Fructose Intolerance, Hereditary"	612724	ALDOB	Aldob	1	1			0	0			
230000	Fucosidosis	612280	FUCA1	Fuca1	1	1			1	1	Yes	"['macrophage', 'monocyte']"	
230400	Galactosemia	606999	GALT	Galt	1	1	PS230400	Galactosemia	1	1	Yes	['nk.cell']	
230450	"Gamma-glutamylcysteine Synthetase Deficiency, Hemolytic Anemia Dueto"	606857	GCLC	Gclc	1	1			1	1	Yes	['erythrocyte']	['proerythroblast']
230500	"Gm1-gangliosidosis, Type I"	611458	GLB1	Glb1	1	1			1	1	Yes	['monocyte']	
230600	"Gm1-gangliosidosis, Type Ii"	611458	GLB1	Glb1	1	1			1	1	Yes	['monocyte']	
230650	"Gm1-gangliosidosis, Type Iii"	611458	GLB1	Glb1	1	1			1	1	Yes	['monocyte']	
230800	"Gaucher Disease, Type I"	606463	GBA	Gba	1	1			1	1	Yes	['macrophage']	
230900	"Gaucher Disease, Type Ii"	606463	GBA	Gba	1	1			1	1	Yes	['macrophage']	
231000	"Gaucher Disease, Type Iii"	606463	GBA	Gba	1	1			1	1	Yes	['macrophage']	
231005	"Gaucher Disease, Type Iiic"	606463	GBA	Gba	1	1			1	1	Yes	['macrophage']	
231095	Ghosal Hematodiaphyseal Dysplasia	274180	TBXAS1	Tbxas1	1	1			1	1	Yes	['macrophage']	
231200	Bernard-soulier Syndrome	173515	GP9	Gp9	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
231200	Bernard-soulier Syndrome	606672	GP1BA	Gp1ba	1	1	PS231200	"Bleeding disorder, platelet-type"	1	0	Yes		
231200	Bernard-soulier Syndrome	138720	GP1BB	Gp1bb	1	1	PS231200	"Bleeding disorder, platelet-type"	0	1	Yes		
231900	"Glutathione Synthetase Deficiency Of Erythrocytes, Hemolytic Anemiadue To"	601002	GSS	Gss	1	1			1	1	Yes		
232200	Glycogen Storage Disease Ia	613742	G6PC1	G6pc	1	1			0	0			
232220	Glycogen Storage Disease Ib	602671	SLC37A4	Slc37a4	1	1			1	1	Yes	['erythroid.progenitor']	
232800	Glycogen Storage Disease Vii	610681	PFKM	Pfkm	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
233600	Immunodeficiency 59 And Hypoglycemia	601746	HYOU1	Hyou1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
233650	Combined Cellular And Humoral Immune Defects With Granulomas	179615	RAG1	Rag1	1	1			0	1	Yes		
233650	Combined Cellular And Humoral Immune Defects With Granulomas	179616	RAG2	Rag2	1	1			0	1	Yes		
233690	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-negative"	608508	CYBA	Cyba	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes		
233700	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-positive, Type I"	608512	NCF1	Ncf1	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes		
233710	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-positive, Type Ii"	608515	NCF2	Ncf2	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes		
234000	Factor Xii Deficiency	610619	F12	F12	1	1			0	0			
234200	Neurodegeneration With Brain Iron Accumulation 1	606157	PANK2	Pank2	1	1	PS234200	Neurodegeneration with brain iron accumulation	1	1	No		
235400	"Hemolytic Uremic Syndrome, Atypical"	134370	CFH	Cfh	1	1	PS235400	Hemolytic uremic syndrome	1	1	Yes	['hematopoietic.stem.cell']	
235400	"Hemolytic Uremic Syndrome, Atypical"	605336	CFHR3		1	1	PS235400	Hemolytic uremic syndrome	0	0	Yes	['hematopoietic.stem.cell']	
