Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
130050	"Ehlers-danlos Syndrome, Vascular Type"	120180	COL3A1	Col3a1	1	1	PS130000	Ehlers-Danlos syndrome	1	1	Yes		
134610	"Familial Mediterranean Fever, Ad"	608107	MEFV	Mefv	1	1			1	1	No		
135150	Birt-hogg-dube Syndrome	607273	FLCN	Flcn	1	1			1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'type.i.pneumocyte']"	
135900	Coffin-siris Syndrome 1	614556	ARID1B	Arid1b	1	1	PS135900	Coffin-Siris syndrome	1	1	Yes	"['pericyte.cell', 'plasmacytoid.dendritic.cell']"	
135900	Coffin-siris Syndrome 1	614556	ARID1B	Arid1b	1	1	PS156200	"Mental retardation, autosomal dominant"	1	1	Yes	"['pericyte.cell', 'plasmacytoid.dendritic.cell']"	
137940	Hypotrichosis-lymphedema-telangiectasia-renal Defect Syndrome	601618	SOX18	Sox18	1	1			1	1	Yes	"['capillary.aerocyte', 'endothelial.cell.of.artery', 'lung.microvascular.endothelial.cell']"	['capillary.endothelial.cell']
142680	"Periodic Fever, Familial, Autosomal Dominant"	191190	TNFRSF1A	Tnfrsf1a	1	1			1	1	No		
145410	"Opitz Gbbb Syndrome, Autosomal Dominant"	614140	SPECC1L	Specc1l	1	1	PS300000	Opitz GBBB syndrome	1	1	Yes	"['myofibroblast.cell', 'plasmacytoid.dendritic.cell']"	
146510	Pallister-hall Syndrome 1	165240	GLI3	Gli3	1	1			1	1	Yes	"['alveolar.fibroblast', 'fibroblast']"	['fibroblast.1']
147060	Hyper-ige Recurrent Infection Syndrome	102582	STAT3	Stat3	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes	['neutrophil']	
147920	Kabuki Syndrome	602113	KMT2D	Kmt2d	1	1	PS147920	Kabuki syndrome	1	0			
150550	"Periodic Fever, Immunodeficiency, And Thrombocytopenia Syndrome"	604734	WDR1	Wdr1	1	1			1	1	Yes	['bronchial.smooth.muscle.cell']	
151623	Li-fraumeni Syndrome 1	191170	TP53	Trp53	1	1	PS151623	Li-Fraumeni syndrome	1	1	Yes		
152700	Systemic Lupus Erythematosus	600716	PTPN22	Ptpn22	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	146790	FCGR2A	Fcgr3	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	604590	FCGR2B	Fcgr2b	1	1			1	1	Yes		
152700	Systemic Lupus Erythematosus	123890	CTLA4	Ctla4	1	1			1	0	Yes		
152700	Systemic Lupus Erythematosus	606609	TREX1	Trex1	1	1			0	1	Yes		
152700	Systemic Lupus Erythematosus	125505	DNASE1	Dnase1	1	1			1	0	Yes		
154700	Marfan Syndrome	134797	FBN1	Fbn1	1	1			1	1	Yes	"['adventitial.cell', 'fibroblast']"	['fibroblast.1']
158310	"Mucoepithelial Dysplasia, Hereditary"	184756	SREBF1	Srebf1	1	1			1	1	Yes	"['myofibroblast.cell', 'pulmonary.ionocyte']"	
159950	Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy	613468	ASAH1	Asah1	1	1			1	1	Yes	"['macrophage', 'neutrophil', 'non.classical.monocyte']"	
167800	"Pancreatitis, Hereditary"	601405	CTRC	Ctrc	1	1			0	0	No		
167800	"Pancreatitis, Hereditary"	167790	SPINK1	Spink1	1	1			0	0	No		
167800	"Pancreatitis, Hereditary"	602421	CFTR	Cftr	1	1			1	1	No		
167800	"Pancreatitis, Hereditary"	276000	PRSS1	Try10	1	1			0	0	No		
167800	"Pancreatitis, Hereditary"	601564	PRSS2	Prss2	1	1			0	0	No		
170100	Prolidase Deficiency	613230	PEPD	Pepd	1	1			1	1	Yes	['endothelial.cell.of.lymphatic.vessel']	
173600	"Pneumothorax, Primary Spontaneous"	607273	FLCN	Flcn	1	1			1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'type.i.pneumocyte']"	
175050	Juvenile Polyposis/hereditary Hemorrhagic Telangiectasia Syndrome	600993	SMAD4	Smad4	1	1			1	1	Yes		
176270	Prader-willi Syndrome	602117	NDN	Ndn	1	1			1	1	Yes	"['adventitial.cell', 'pericyte.cell', 'vascular.associated.smooth.muscle.cell']"	['pericyte.cell']
176270	Prader-willi Syndrome	182279	SNRPN	Snrpn	1	1			1	0	Yes	"['adventitial.cell', 'pericyte.cell', 'vascular.associated.smooth.muscle.cell']"	['pericyte.cell']
178500	"Pulmonary Fibrosis, Idiopathic"	178642	SFTPA2		1	1			1	0			
178500	"Pulmonary Fibrosis, Idiopathic"	600770	MUC5B	Muc5b	1	1			1	0			
178600	"Pulmonary Hypertension, Primary, 1"	600799	BMPR2	Bmpr2	1	1	PS178600	"Pulmonary hypertension, primary"	1	1	Yes	"['capillary.aerocyte', 'capillary.endothelial.cell', 'endothelial.cell.of.artery', 'vein.endothelial.cell']"	"['pulmonary.artery.endothelial.cell', 'capillary.endothelial.cell']"
180295	"Rhabdomyosarcoma, Embryonal, 2"	606241	DICER1	Dicer1	1	1			1	1	No		
180849	Rubinstein-taybi Syndrome 1	600140	CREBBP	Crebbp	1	1	PS180849	Rubinstein-Taybi syndrome	1	1	Yes	"['myofibroblast.cell', 'neutrophil', 'nk.cell']"	
181000	"Sarcoidosis, Susceptibility To, 1"	142857	HLA-DRB1		1	1			1	0			
182250	Singleton-merten Syndrome	606951	IFIH1	Ifih1	1	1	PS182250	Singleton-Merten syndrome	1	1	NA		
184260	Osteochondrodysplasia	604505	TRIP11	Trip11	1	1			1	1	Yes	['myofibroblast.cell']	
185500	Supravalvular Aortic Stenosis	130160	ELN		1	1			1	0			
187300	"Telangiectasia, Hereditary Hemorrhagic, Type 1"	131195	ENG	Eng	1	1	PS187300	"Telangiectasia, hereditary hemorrhagic"	1	1	Yes	"['capillary.aerocyte', 'capillary.endothelial.cell', 'endothelial.cell.of.artery']"	['capillary.endothelial.cell']
190350	"Trichorhinophalangeal Syndrome, Type I"	604386	TRPS1	Trps1	1	1	PS190350	Trichorhinophalangeal syndrome	1	1	NA		
191100	Tuberous Sclerosis-1	605284	TSC1	Tsc1	1	1	PS191100	Tuberous sclerosis	1	1	Yes		
191830	Renal Hypodysplasia/aplasia 1	604063	ITGA8	Itga8	1	1	PS191830	Renal hypodysplasia/aplasia	1	1	Yes	"['alveolar.fibroblast', 'bronchial.smooth.muscle.cell', 'fibroblast']"	['fibroblast']
192430	Velocardiofacial Syndrome	602054	TBX1	Tbx1	1	1			1	1	Yes	['endothelial.cell.of.lymphatic.vessel']	
193300	Von Hippel-lindau Syndrome	608537	VHL	Vhl	1	1			1	0	Yes	"['basal.cell', 'endothelial.cell.of.lymphatic.vessel']"	
193300	Von Hippel-lindau Syndrome	168461	CCND1	Ccnd1	1	1			1	1	Yes	"['basal.cell', 'endothelial.cell.of.lymphatic.vessel']"	
193670	Whim Syndrome	162643	CXCR4	Cxcr4	1	1			1	1	Yes	"['cd8.positive..alpha.beta.t.cell', 'cd4.positive..alpha.beta.t.cell', 'b.cell']"	
193700	"Arthrogryposis, Distal, Type 2a"	160720	MYH3	Myh3	1	1	PS108120	"Arthrogryposis, distal"	0	0			
203300	Hermansky-pudlak Syndrome	604982	HPS1	Hps1	1	1	PS203300	Hermansky-Pudlak syndrome	1	0	Yes		
203800	Alstrom Syndrome	606844	ALMS1	Alms1	1	1			1	1	NA		
208050	Arterial Tortuosity Syndrome	606145	SLC2A10	Slc2a10	1	1			1	1	No		
208150	Fetal Akinesia Deformation Sequence	601296	MUSK	Musk	1	1	PS208150	Fetal akinesia deformation sequence	1	0			
208400	Aspartylglucosaminuria	613228	AGA	Aga	1	1			1	1	NA		
208530	Asplenia With Cardiovascular Anomalies	602880	GDF1	Gdf1	1	1			0	0			
208540	Renal-hepatic-pancreatic Dysplasia	608002	NPHP3	Nphp3	1	1	PS208540	Renal-hepatic-pancreatic dysplasia	1	1	Yes	['fibroblast']	
208900	Ataxia-telangiectasia	607585	ATM	Atm	1	1			1	1	Yes	['nk.cell']	
209920	"Bare Lymphocyte Syndrome, Type Ii"	601863	RFX5		1	1			1	0	NA		
209920	"Bare Lymphocyte Syndrome, Type Ii"	601861	RFXAP	Rfxap	1	1			1	1	NA		
209920	"Bare Lymphocyte Syndrome, Type Ii"	600005	CIITA	Ciita	1	1			1	1	NA		
209920	"Bare Lymphocyte Syndrome, Type Ii"	603200	RFXANK	Rfxank	1	1			1	1	NA		
209950	"Immunodeficiency 27a, Mycobacteriosis, Ar"	107470	IFNGR1	Ifngr1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
210900	Bloom Syndrome	604610	BLM	Blm	1	1	PS210900	"Microcephaly, growth restriction and increased sister chromatid exchange"	1	0			
211400	Bronchiectasis	602421	CFTR	Cftr	1	1	PS211400	Bronchiectasis	1	1	Yes	['pulmonary.ionocyte']	
211400	Bronchiectasis	600760	SCNN1B	Scnn1b	1	1	PS211400	Bronchiectasis	1	1	Yes	['pulmonary.ionocyte']	
211530	"Bulbar Palsy, Progressive, With Sensorineural Deafness"	613350	SLC52A3	Slc52a3	1	1	PS211530	Brown-Vialetto-Van Laere syndrome	1	1	Yes	"['endothelial.cell.of.artery', 'serous.cell.of.epithelium.of.bronchus', 'vein.endothelial.cell']"	
211980	"Lung Cancer, Susceptibility To"	134638	FASLG	Fasl	1	1			0	1	Yes		
211980	"Lung Cancer, Susceptibility To"	601763	CASP8	Casp8	1	1			1	1	Yes		
211980	"Lung Cancer, Susceptibility To"	131550	EGFR	Egfr	1	1			1	1	Yes		
211980	"Lung Cancer, Susceptibility To"	609413	ERCC6	Ercc6	1	1			1	0	Yes		
211980	"Lung Cancer, Susceptibility To"	122720	CYP2A6	Cyp2a4	1	1			0	0	Yes		
211980	"Lung Cancer, Susceptibility To"	122720	CYP2A6	Cyp2a5	1	1			0	1	Yes		
212720	Martsolf Syndrome	609275	RAB3GAP2	Rab3gap2	1	1			1	1	NA		
214100	Zellweger Syndrome	602136	PEX1	Pex1	1	1	PS214100	Peroxisome biogenesis disorder	1	0			
215140	Hydrops-ectopic Calcification-moth-eaten Skeletal Dysplasia	600024	LBR	Lbr	1	1			1	1	NA		
215150	Otospondylomegaepiphyseal Dysplasia	120290	COL11A2	Col11a2	1	1	PS184840	Otospondylomegaepiphyseal dysplasia	0	0			
217090	"Plasminogen Deficiency, Type Iligneous Conjunctivitis, Included"	173350	PLG	Plg	1	1			0	0			
218000	Agenesis Of The Corpus Callosum With Peripheral Neuropathy	604878	SLC12A6	Slc12a6	1	1			1	1	No		
218040	Costello Syndrome	190020	HRAS	Hras	1	1			1	0			
219000	Fraser Syndrome	607830	FRAS1	Fras1	1	1	PS219000	Fraser syndrome	1	0	Yes		
219100	"Cutis Laxa, Autosomal Recessive, Type I"	604580	FBLN5	Fbln5	1	1	PS123700	Cutis laxa	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast']"	
219700	Cystic Fibrosis	146790	FCGR2A	Fcgr3	1	1			1	1	Yes	"['neutrophil', 'pulmonary.ionocyte']"	
219700	Cystic Fibrosis	602421	CFTR	Cftr	1	1			1	1	Yes	"['neutrophil', 'pulmonary.ionocyte']"	
219700	Cystic Fibrosis	190180	TGFB1	Tgfb1	1	1			0	1	Yes	"['neutrophil', 'pulmonary.ionocyte']"	
222700	Lysinuric Protein Intolerance	603593	SLC7A7	Slc7a7	1	1			1	1	Yes	"['classical.monocyte', 'intermediate.monocyte', 'macrophage', 'non.classical.monocyte']"	
223900	"Neuropathy, Hereditary Sensory And Autonomic, Type Iii"	603722	ELP1	Elp1	1	1	PS162400	Hereditary sensory and autonomic neuropathy	1	0			
224230	"Dyskeratosis Congenita, Autosomal Recessive, 1"	606471	NOP10	Nop10	1	1	PS127550	Dyskeratosis congenita	1	1	Yes	['bronchial.vessel.endothelial.cell']	
224410	"Dyssegmental Dysplasia, Silverman-handmaker Type"	142461	HSPG2	Hspg2	1	1			1	1	Yes	"['bronchial.vessel.endothelial.cell', 'lung.microvascular.endothelial.cell', 'vein.endothelial.cell']"	
225400	"Ehlers-danlos Syndrome, Type Vi"	153454	PLOD1	Plod1	1	1	PS130000	Ehlers-Danlos syndrome	1	1	Yes		
225410	"Ehlers-danlos Syndrome, Type Vii, Autosomal Recessive"	604539	ADAMTS2	Adamts2	1	1	PS130000	Ehlers-Danlos syndrome	1	1	Yes		
226300	"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy"	125240	CD55	Cd55	1	1			1	1	Yes	"['neutrophil', 'type.i.pneumocyte']"	['ciliated.epithelial.cell']
226300	"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy"	125240	CD55	Cd55b	1	1			1	0	Yes	"['neutrophil', 'type.i.pneumocyte']"	['ciliated.epithelial.cell']
226990	Immunodeficiency 32b	601565	IRF8	Irf8	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
230000	Fucosidosis	612280	FUCA1	Fuca1	1	1			1	1	NA		
230800	"Gaucher Disease, Type I"	606463	GBA	Gba	1	1			1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'fibroblast', 'myofibroblast.cell']"	
230900	"Gaucher Disease, Type Ii"	606463	GBA	Gba	1	1			1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'fibroblast', 'myofibroblast.cell']"	
231680	Multiple Acyl-coa Dehydrogenase Deficiency	231675	ETFDH	Etfdh	1	1			1	1	Yes	['plasmacytoid.dendritic.cell']	
231680	Multiple Acyl-coa Dehydrogenase Deficiency	608053	ETFA	Etfa	1	1			1	1	Yes	['plasmacytoid.dendritic.cell']	
231680	Multiple Acyl-coa Dehydrogenase Deficiency	130410	ETFB	Etfb	1	1			1	1	Yes	['plasmacytoid.dendritic.cell']	
232300	Glycogen Storage Disease Ii	606800	GAA	Gaa	1	1			1	1	Yes	"['macrophage', 'non.classical.monocyte']"	
233650	Combined Cellular And Humoral Immune Defects With Granulomas	179615	RAG1	Rag1	1	1			0	0			
233650	Combined Cellular And Humoral Immune Defects With Granulomas	179616	RAG2	Rag2	1	1			0	0			
233690	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-negative"	608508	CYBA	Cyba	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes	['neutrophil']	
233700	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-positive, Type I"	608512	NCF1	Ncf1	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes	['neutrophil']	
233710	"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-positive, Type Ii"	608515	NCF2	Ncf2	1	1	PS306400	"Granulomatous disease, chronic"	1	1	Yes	['neutrophil']	
234810	Pulmonary Venoocclusive Disease 2	609280	EIF2AK4	Eif2ak4	1	1	PS265450	Pulmonary venoocclusive disease	1	1	Yes	['endothelial.cell.of.artery']	
235200	Hemochromatosis	613609	HFE	Hfe	1	1	PS235200	Hemochromatosis	1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'myofibroblast.cell']"	
235200	Hemochromatosis	112261	BMP2	Bmp2	1	1	PS235200	Hemochromatosis	1	0	Yes	"['endothelial.cell.of.lymphatic.vessel', 'myofibroblast.cell']"	
235510	Hennekam Lymphangiectasia-lymphedema Syndrome	612753	CCBE1	Ccbe1	1	1	PS235510	Hennekam lymphangiectasia-lymphedema syndrome	1	0			
235730	Mowat-wilson Syndrome	605802	ZEB2	Zeb2	1	1			1	1	No		
236500	"Multinucleated Neurons, Anhydramnios, Renal Dysplasia, Cerebellar Hypoplasia, And Hydranencephaly"	610000	CEP55	Cep55	1	1			0	0			
236680	Hydrolethalus Syndrome 1	610693	HYLS1	Hyls1	1	1	PS236680	Hydrolethalus syndrome	1	0			
236700	Mckusick-kaufman Syndrome	604896	MKKS	Mkks	1	1			1	1	NA		
240500	"Immunodeficiency, Common Variable, 2"	604907	TNFRSF13B	Tnfrsf13b	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes	['b.cell']	['B.cell']
241500	"Hypophosphatasia, Infantile"	171760	ALPL	Alpl	1	1			1	0			
241600	"Hypoproteinemia, Hypercatabolic"	109700	B2M	B2m	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
241800	"Hypothalamic Hamartomascongenital Hypothalamic Hamartoma Syndrome, Included"	601500	SMO	Smo	1	1			1	1	No		
242840	"Immunodeficiency With Cleft Lip/palate, Cataract, Hypopigmentation,and Absent Corpus Callosum"	615068	EPG5	Epg5	1	1			1	0			
242860	Immunodeficiency-centromeric Instability-facial Anomalies Syndrome1	602900	DNMT3B	Dnmt3b	1	1	PS242860	Immunodeficiency-centromeric instability-facial anomalies	0	0		"['cd8.positive..alpha.beta.t.cell', 'cd4.positive..alpha.beta.t.cell', 'b.cell']"	
243700	"Hyperimmunoglobulin E-recurrent Infection Syndrome, Autosomal Recessive"	611432	DOCK8	Dock8	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes	['neutrophil']	
244400	Kartagener Syndrome	604366	DNAI1	Dnai1	1	1	PS244400	Primary ciliary dyskinesia	1	0	Yes	['lung.ciliated.cell']	['ciliated.epithelial.cell']
245150	Keutel Syndrome	154870	MGP	Mgp	1	1			1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast', 'bronchial.smooth.muscle.cell']"	['fibroblast']
248700	Marden-walker Syndrome	613629	PIEZO2	Piezo2	1	1			1	0			
249000	"Meckel Syndrome, Type 1"	609883	MKS1	Mks1	1	1	PS249000	Meckel syndrome	1	1	Yes	['lung.ciliated.cell']	['ciliated.epithelial.cell']
249100	"Familial Mediterranean Fever, Ar"	608107	MEFV	Mefv	1	1			1	1	No		
251230	Microcephaly-micromelia Syndrome	611428	DONSON	Donson	1	1			1	1	Yes	"['fibroblast', 'myofibroblast.cell']"	
251260	Nijmegen Breakage Syndrome	602667	NBN	Nbn	1	1			1	1	Yes	"['fibroblast', 'pericyte.cell']"	
252500	Mucolipidosis Ii Alpha/beta	607840	GNPTAB	Gnptab	1	1			1	1	Yes	"['basophil', 'nk.cell']"	
252900	Mucopolysaccharidosis Type Iiia	605270	SGSH	Sgsh	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
252920	Mucopolysaccharidosis Type Iiib	609701	NAGLU	Naglu	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
252930	Mucopolysaccharidosis Type Iiic	610453	HGSNAT	Hgsnat	1	1	PS607014	Mucopolysaccharidoses	1	1	NA		
252940	Mucopolysaccharidosis Type Iiid	607664	GNS	Gns	1	1			1	1	NA		
253000	Morquio Syndrome A	612222	GALNS	Galns	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
253010	Morquio Syndrome B	611458	GLB1	Glb1	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
253200	Mucopolysaccharidosis Type Vi	611542	ARSB	Arsb	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
253220	"Mucopolysaccharidosis, Type Vii"	611499	GUSB	Gusb	1	1	PS607014	Mucopolysaccharidoses	1	1	Yes		
253290	"Multiple Pterygium Syndrome, Lethal Type"	100690	CHRNA1	Chrna1	1	1			0	0			
253290	"Multiple Pterygium Syndrome, Lethal Type"	100720	CHRND	Chrnd	1	1			0	0			
253290	"Multiple Pterygium Syndrome, Lethal Type"	100730	CHRNG	Chrng	1	1			0	0			
253300	"Spinal Muscular Atrophy, Type I"	600354	SMN1	Smn1	1	1			1	1	Yes	['endothelial.cell.of.lymphatic.vessel']	
253310	Lethal Congenital Contracture Syndrome 1	603371	GLE1	Gle1	1	1	PS253310	Lethal congenital contracture syndrome	1	1	Yes		
253550	"Spinal Muscular Atrophy, Type Ii"	600354	SMN1	Smn1	1	1			1	1	Yes	['endothelial.cell.of.lymphatic.vessel']	
253700	"Muscular Dystrophy, Limb-girdle, Type 2c"	608896	SGCG	Sgcg	1	1	PS253600	"Muscular dystrophy, limb-girdle, autosomal recessive"	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast', 'fibroblast']"	
254090	Ullrich Congenital Muscular Dystrophy 1	120250	COL6A3	Col6a3	1	1	PS253600	"Muscular dystrophy, limb-girdle, autosomal recessive"	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast', 'fibroblast']"	
254090	Ullrich Congenital Muscular Dystrophy 1	120250	COL6A3	Col6a3	1	1	PS254090	Ullrich congenital muscular dystrophy	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast']"	"['fibroblast', 'fibroblast.1']"
254090	Ullrich Congenital Muscular Dystrophy 1	120220	COL6A1	Col6a1	1	1	PS253600	"Muscular dystrophy, limb-girdle, autosomal recessive"	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast', 'fibroblast']"	
254090	Ullrich Congenital Muscular Dystrophy 1	120220	COL6A1	Col6a1	1	1	PS254090	Ullrich congenital muscular dystrophy	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast']"	"['fibroblast', 'fibroblast.1']"
254090	Ullrich Congenital Muscular Dystrophy 1	120240	COL6A2	Col6a2	1	1	PS253600	"Muscular dystrophy, limb-girdle, autosomal recessive"	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast', 'fibroblast']"	
254090	Ullrich Congenital Muscular Dystrophy 1	120240	COL6A2	Col6a2	1	1	PS254090	Ullrich congenital muscular dystrophy	1	1	Yes	"['adventitial.cell', 'alveolar.fibroblast']"	"['fibroblast', 'fibroblast.1']"
255320	Minicore Myopathy With External Ophthalmoplegia	180901	RYR1	Ryr1	1	1			1	1	Yes	"['basal.cell', 'basophil', 'macrophage']"	
256040	Proteasome-associated Autoinflammatory Syndrome 1 And Digenic Forms	177046	PSMB8	Psmb8	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1	No		
256050	"Atelosteogenesis, Type Ii"	606718	SLC26A2	Slc26a2	1	1	PS108720	Atelosteogenesis	1	1	Yes	"['basophil', 'capillary.endothelial.cell']"	
256520	Neu-laxova Syndrome	606879	PHGDH	Phgdh	1	1	PS256520	Neu-Laxova syndrome	1	1	Yes	"['adventitial.cell', 'mesothelial.cell']"	
257200	"Niemann-pick Disease, Type A"	607608	SMPD1	Smpd1	1	1			1	1	Yes	['type.i.pneumocyte']	
258315	"Omodysplasia, Generalized Form"	604404	GPC6	Gpc6	1	1	PS258315	Omodysplasia	1	1	No		
258480	Opsismodysplasia	600829	INPPL1	Inppl1	1	1			1	1	NA		
259775	Raine Syndrome	611061	FAM20C	Fam20c	1	1			1	1	Yes	['adventitial.cell']	['fibroblast.1']
261740	"Glycogen Storage Disease Of Heart, Lethal Congenital"	602743	PRKAG2	Prkag2	1	1			1	1	Yes	"['endothelial.cell.of.lymphatic.vessel', 'pulmonary.ionocyte']"	['ciliated.epithelial.cell']
262850	Plasmin Inhibitor Deficiency	613168	SERPINF2	Serpinf2	1	1			1	0			
263200	"Polycystic Kidney Disease, Autosomal Recessive"	606702	PKHD1	Pkhd1	1	1	PS173900	Polycystic kidney disease	0	0			
263210	Gillessen-kaesbach-nishimura Syndrome	606941	ALG9	Alg9	1	1			1	1	Yes	"['bronchial.smooth.muscle.cell', 'fibroblast']"	
263520	Short-rib Thoracic Dysplasia 6 With Or Without Polydactyly	604588	NEK1	Nek1	1	1	PS208500	Short-rib thoracic dysplasia	1	1	Yes	['lung.ciliated.cell']	['ciliated.epithelial.cell']
264090	"Progeroid Syndrome, Neonatal"	614258	POLR3A	Polr3a	1	1	PS176670	Progeria	1	0			
264350	"Pseudohypoaldosteronism, Type I, Autosomal Recessive"	600228	SCNN1A	Scnn1a	1	1			1	1	Yes	['pulmonary.ionocyte']	
264350	"Pseudohypoaldosteronism, Type I, Autosomal Recessive"	600761	SCNN1G	Scnn1g	1	1			1	0	Yes	['pulmonary.ionocyte']	
264350	"Pseudohypoaldosteronism, Type I, Autosomal Recessive"	600760	SCNN1B	Scnn1b	1	1			1	1	Yes	['pulmonary.ionocyte']	
265000	"Multiple Pterygium Syndrome, Escobar Variant"	100730	CHRNG	Chrng	1	1			0	0			
265100	Pulmonary Alveolar Microlithiasis	604217	SLC34A2	Slc34a2	1	1			1	1	Yes	"['type.i.pneumocyte', 'type.ii.pneumocyte']"	['pulmonary.ionocyte..type.II.pneumocyte']
265120	"Surfactant Metabolism Dysfunction, Pulmonary, 1"	178640	SFTPB	Sftpb	1	1	PS265120	"Surfactant metabolism dysfunction, pulmonary"	1	1	Yes	['type.ii.pneumocyte']	['pulmonary.ionocyte..type.II.pneumocyte']
265380	Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins	601089	FOXF1	Foxf1	1	1			1	0			
265450	Pulmonary Venoocclusive Disease 1	600799	BMPR2	Bmpr2	1	1	PS265450	Pulmonary venoocclusive disease	1	1	Yes	['endothelial.cell.of.artery']	
266265	"Congenital Disorder Of Glycosylation, Type Iic"	605881	SLC35C1	Slc35c1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes	['respiratory.mucous.cell']	
267430	Renal Tubular Dysgenesis	179820	REN	Ren1	1	1			0	0	Yes		
267430	Renal Tubular Dysgenesis	106150	AGT	Agt	1	1			1	1	Yes		
267430	Renal Tubular Dysgenesis	106165	AGTR1	Agtr1a	1	1			1	1	Yes		
267430	Renal Tubular Dysgenesis	106180	ACE	Ace	1	1			1	1	Yes		
269840	"Severe Combined Immunodeficiency, Atypical"	176947	ZAP70	Zap70	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
