Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted (ODiseA)	Human affected cell types	Mouse similar affected cell types
108145	"Arthrogryposis, Distal, Type 5"	613629	PIEZO2	Piezo2	1	1	PS108120	"Arthrogryposis, distal"	1	0		['fast.muscle.cell']	['striated.muscle.cell']
108500	"Episodic Ataxia, Type 2"	601011	CACNA1A	Cacna1a	1	1	PS160120	Episodic ataxia	1	0		['macrophage']	
108600	"Spastic Ataxia 1, Autosomal Dominant"	185880	VAMP1	Vamp1	1	1	PS108600	Spastic ataxia	1	1			
109150	Machado-joseph Disease	607047	ATXN3	Atxn3	1	1	PS164400	Spinocerebellar ataxia	1	0			
109400	Basal Cell Nevus Syndrome	603673	PTCH2	Ptch2	1	1			0	0			
109400	Basal Cell Nevus Syndrome	601309	PTCH1	Ptch1	1	1			1	0			
109400	Basal Cell Nevus Syndrome	607035	SUFU	Sufu	1	1			1	0			
112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma	156540	MTAP	Mtap	1	1			1	1		['tendon.cell']	
113000	"Brachydactyly, Type B1"	602337	ROR2	Ror2	1	1			1	0			
113620	Branchiooculofacial Syndrome	107580	TFAP2A	Tfap2a	1	1			0	0			
113650	Branchiootorenal Syndrome 1	601653	EYA1	Eya1	1	1			0	0			
114290	Campomelic Dysplasia	608160	SOX9	Sox9	1	1			1	1		"['mesenchymal.stem.cell', 'skeletal.muscle.satellite.stem.cell', 'tendon.cell']"	['stromal.cell']
114300	"Arthrogryposis, Distal, Type 3"	613629	PIEZO2	Piezo2	1	1	PS108120	"Arthrogryposis, distal"	1	0		['fast.muscle.cell']	['striated.muscle.cell']
115150	Cardiofaciocutaneous Syndrome 1	164757	BRAF	Braf	1	1	PS115150	Cardiofaciocutaneous syndrome	1	1	Yes	['mast.cell']	
115197	"Cardiomyopathy, Familial Hypertrophic, 4"	600958	MYBPC3	Mybpc3	1	1	PS192600	"Cardiomyopathy, familial hypertrophic"	0	0			
116860	Cerebral Cavernous Malformations	604214	KRIT1	Krit1	1	1	PS116860	Cerebral cavernous malformations	1	1			
117000	Central Core Disease Of Muscle	180901	RYR1	Ryr1	1	1			1	1		['fast.muscle.cell']	
117300	"Dementia, Familial Danish"	603904	ITM2B	Itm2b	1	1			1	1		['endothelial.cell.of.vascular.tree']	
117550	Sotos Syndrome	606681	NSD1	Nsd1	1	1	PS117550	Sotos syndrome	1	1			
117650	Cerebrocostomandibular Syndrome	182282	SNRPB	Snrpb	1	1			1	1		['mature.nk.t.cell']	
118100	"Klippel-feil Syndrome 1, Autosomal Dominant"	601147	GDF6	Gdf6	1	1	PS118100	Klippel-Feil syndrome	0	0			
118200	"Charcot-marie-tooth Disease, Demyelinating, Type 1b"	159440	MPZ	Mpz	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
118210	"Charcot-marie-tooth Disease, Axonal, Type 2a1"	605995	KIF1B	Kif1b	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
118220	"Charcot-marie-tooth Disease, Demyelinating, Type 1a"	601097	PMP22	Pmp22	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
118300	Charcot-marie-tooth Disease And Deafness	601097	PMP22	Pmp22	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
118800	Paroxysmal Nonkinesigenic Dyskinesia 1	609023	PNKD	Pnkd	1	1	PS128100	Dystonia	1	1			
121050	"Contractural Arachnodactyly, Congenital"	612570	FBN2	Fbn2	1	1	PS108120	"Arthrogryposis, distal"	0	1		['fast.muscle.cell']	['striated.muscle.cell']
121300	Coproporphyria	612732	CPOX	Cpox	1	1			1	1		"['mature.nk.t.cell', 't.cell']"	
122470	Cornelia De Lange Syndrome 1	608667	NIPBL	Nipbl	1	1	PS122470	Cornelia de Lange syndrome	1	1		['cd8.positive..alpha.beta.t.cell']	
122860	"Craniodiaphyseal Dysplasia, Autosomal Dominant"	605740	SOST	Sost	1	1			0	0			
123000	"Craniometaphyseal Dysplasia, Autosomal Dominant"	605145	ANKH	Ank	1	1	PS123000	Craniometaphyseal dysplasia	1	1			
123320	"Creatine Phosphokinase, Elevated Serum"	601253	CAV3	Cav3	1	1			1	1		['fast.muscle.cell']	['striated.muscle.cell']
124000	Mitochondrial Complex Iii Deficiency	603647	BCS1L	Bcs1l	1	1	PS124000	"Mitochondrial complex III deficiency, nuclear type"	1	0	Yes	"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
125250	"Optic Atrophy With Or Without Deafness, Ophthalmoplegia, Myopathy,ataxia, And Neuropathy"	605290	OPA1	Opa1	1	1			1	0			
126200	"Multiple Sclerosis, Susceptibility To"	600244	PDCD1	Pdcd1	1	1	PS126200	"Multiple sclerosis, susceptibility to"	1	1			
126200	"Multiple Sclerosis, Susceptibility To"	142857	HLA-DRB1		1	1	PS126200	"Multiple sclerosis, susceptibility to"	1	0			
126200	"Multiple Sclerosis, Susceptibility To"	604305	HLA-DQB1	H2-Ab1	1	1	PS126200	"Multiple sclerosis, susceptibility to"	1	1			
127300	Leri-weill Dyschondrosteosis	312865	SHOX		1	1			0	0			
127300	Leri-weill Dyschondrosteosis	400020	SHOX		1	1			0	0			
128100	"Dystonia 1, Torsion, Autosomal Dominant"	605204	TOR1A	Tor1a	1	1	PS128100	Dystonia	1	1			
128101	Dystonia Musculorum Deformans 4	602662	TUBB4A	Tubb4a	1	1	PS128100	Dystonia	0	1			
128230	"Dystonia, Dopa-responsive"	600225	GCH1	Gch1	1	1	PS128100	Dystonia	1	1			
128235	Dystonia 12	182350	ATP1A3	Atp1a3	1	1	PS128100	Dystonia	0	1			
129200	Basan Syndrome	612761	SMARCAD1	Smarcad1	1	1			1	1			
130000	"Ehlers-danlos Syndrome, Type I"	120215	COL5A1	Col5a1	1	1	PS130000	Ehlers-Danlos syndrome	1	1		['tendon.cell']	
130060	"Ehlers-danlos Syndrome, Type Vii, Autosomal Dominant"	120150	COL1A1	Col1a1	1	1	PS130000	Ehlers-Danlos syndrome	1	1		['tendon.cell']	
130070	"Ehlers-danlos Syndrome, Spondylodysplastic Type, 1"	604327	B4GALT7	B4galt7	1	1	PS130000	Ehlers-Danlos syndrome	1	0		['tendon.cell']	
130650	Beckwith-wiedemann Syndrome	616186	ICR1		1	1			0	0			
130650	Beckwith-wiedemann Syndrome	604115	KCNQ1OT1		1	1			1	0			
130650	Beckwith-wiedemann Syndrome	600856	CDKN1C		1	1			1	0			
130720	Lateral Meningocele Syndrome	600276	NOTCH3	Notch3	1	1			1	1		"['pericyte.cell', 'smooth.muscle.cell']"	['pericyte.cell']
131300	Camurati-engelmann Disease	190180	TGFB1	Tgfb1	1	1			0	1			
133020	"Erythermalgia, Primary"	603415	SCN9A	Scn9a	1	1			1	0			
133190	Spinocerebellar Ataxia 34	605512	ELOVL4	Elovl4	1	1	PS164400	Spinocerebellar ataxia	0	0			
133540	"Cockayne Syndrome, Type B"	609413	ERCC6	Ercc6	1	1			0	0			
134600	Fanconi Renotubular Syndrome 1	602360	GATM	Gatm	1	1	PS134600	Fanconi renotubular syndrome	1	1		['macrophage']	
135500	Zimmermann-laband Syndrome 1	603305	KCNH1	Kcnh1	1	1	PS135500	Zimmermann-Laband syndrome	0	0		['macrophage']	['macrophage']
135700	"Fibrosis Of Extraocular Muscles, Congenital, 1"	608283	KIF21A	Kif21a	1	1	PS135700	"Fibrosis of extraocular muscles, congenital"	1	1	Yes	['mature.nk.t.cell']	
135900	Coffin-siris Syndrome 1	614556	ARID1B	Arid1b	1	1	PS135900	Coffin-Siris syndrome	1	1			
135900	Coffin-siris Syndrome 1	614556	ARID1B	Arid1b	1	1	PS156200	"Mental retardation, autosomal dominant"	1	1			
136760	Frontonasal Dysplasia	606014	ALX3	Alx3	1	1	PS136760	Frontonasal dysplasia	0	0			
137200	"Neuromyotonia And Axonal Neuropathy, Autosomal Recessive"	601314	HINT1	Hint1	1	1			1	1		['mesothelial.cell']	
137440	Gerstmann-straussler Disease	176640	PRNP	Prnp	1	1			1	1		['macrophage']	
139210	Myhre Syndrome	600993	SMAD4	Smad4	1	1			1	1			
140000	Hand-foot-uterus Syndrome	142959	HOXA13	Hoxa13	1	1			0	0			
142680	"Periodic Fever, Familial, Autosomal Dominant"	191190	TNFRSF1A	Tnfrsf1a	1	1			1	1			
142900	Holt-oram Syndrome	601620	TBX5	Tbx5	1	1			0	0			
143095	Spondyloepiphyseal Dysplasia With Congenital Joint Dislocations	603799	CHST3	Chst3	1	1			1	0			
143880	"Hypercalcemia, Infantile, 1"	126065	CYP24A1	Cyp24a1	1	1	PS143880	"Hypercalcemia, infantile"	0	0			
144755	Hyperostosis Cranialis Interna	608736	SLC39A14	Slc39a14	1	1			1	1		['mesenchymal.stem.cell']	
145410	"Opitz Gbbb Syndrome, Autosomal Dominant"	614140	SPECC1L	Specc1l	1	1	PS300000	Opitz GBBB syndrome	1	1		['smooth.muscle.cell']	
145600	"Malignant Hyperthermia, Susceptibility To, 1"	180901	RYR1	Ryr1	1	1	PS145600	Malignant hyperthermia	1	1	Yes	['fast.muscle.cell']	
145900	Hypertrophic Neuropathy Of Dejerine-sottas	159440	MPZ	Mpz	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
145900	Hypertrophic Neuropathy Of Dejerine-sottas	129010	EGR2	Egr2	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
145900	Hypertrophic Neuropathy Of Dejerine-sottas	601097	PMP22	Pmp22	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
145900	Hypertrophic Neuropathy Of Dejerine-sottas	605725	PRX	Prx	1	1	PS118220	Charcot-Marie-Tooth disease	1	1			
146200	"Hypoparathyroidism, Familial Isolated"	168450	PTH	Pth	1	1	PS146200	"Hypoparathyroidism, familial"	0	0			
146500	"Multiple System Atrophy 1, Susceptibility To"	609825	COQ2	Coq2	1	1			1	1		['slow.muscle.cell']	['striated.muscle.cell']
147750	Ivic Syndrome	607343	SALL4	Sall4	1	1			0	0			
147920	Kabuki Syndrome	602113	KMT2D	Kmt2d	1	1	PS147920	Kabuki syndrome	1	0		['mature.nk.t.cell']	
148210	"Keratitis-ichthyosis-deafness Syndrome, Autosomal Dominant"	121011	GJB2	Gjb2	1	1	PS148210	Keratitis-ichthyosis-deafness syndrome	1	0			
148820	"Waardenburg Syndrome, Type 3"	606597	PAX3	Pax3	1	1	PS193500	Waardenburg syndrome	0	0		"['endothelial.cell.of.lymphatic.vessel', 'pericyte.cell']"	['pericyte.cell']
149400	"Hyperekplexia, Hereditary"	138491	GLRA1	Glra1	1	1	PS149400	Hyperekplexia	0	0			
149730	Lacrimoauriculodentodigital Syndrome	134934	FGFR3	Fgfr3	1	1			0	1			
149730	Lacrimoauriculodentodigital Syndrome	602115	FGF10	Fgf10	1	1			1	0			
149730	Lacrimoauriculodentodigital Syndrome	176943	FGFR2	Fgfr2	1	1			0	0			
151050	Lenz-majewski Hyperostotic Dwarfism	612792	PTDSS1	Ptdss1	1	1			1	1			
151100	Leopard Syndrome 1	176876	PTPN11	Ptpn11	1	1	PS151100	LEOPARD syndrome	1	1			
151660	"Lipodystrophy, Familial Partial, Type 2"	150330	LMNA	Lmna	1	1	PS151660	"Lipodystrophy, familial partial"	1	1	Yes	['capillary.endothelial.cell']	['capillary.endothelial.cell']
153400	Lymphedema-distichiasis Syndrome	602402	FOXC2	Foxc2	1	1			1	1		['endothelial.cell.of.lymphatic.vessel']	['endothelial.cell.of.lymphatic.vessel']
154020	"Hypomagnesemia 2, Renal"	601814	FXYD2		1	1	PS602014	Hypomagnesemia	0	0		['smooth.muscle.cell']	['pericyte.cell']
154700	Marfan Syndrome	134797	FBN1	Fbn1	1	1			1	1		['mesenchymal.stem.cell']	['skeletal.muscle.fibroblast..fibroblast.1']
156400	"Metaphyseal Chondrodysplasia, Jansen Type"	168468	PTH1R	Pth1r	1	1			1	0			
156530	Metatropic Dysplasia	605427	TRPV4	Trpv4	1	1			0	1			
156550	Kniest Dysplasia	120140	COL2A1	Col2a1	1	1	PS184255	Spondylometaphyseal dysplasia	0	1			
156610	"Skin Creases, Congenital Symmetric Circumferential, 1"	191130	TUBB	Tubb5	1	1	PS156610	"Skin creases, congenital symmetric circumferential"	1	1			
157170	Holoprosencephaly 2	603714	SIX3	Six3	1	1	PS236100	Holoprosencephaly	0	0			
157640	"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions,autosomal Dominant, 1"	174763	POLG	Polg	1	1	PS157640	Progressive external ophthalmoplegia with mtDNA deletions	1	1			
158300	Trismus-pseudocamptodactyly Syndrome	160741	MYH8	Myh8	1	1	PS108120	"Arthrogryposis, distal"	0	0		['fast.muscle.cell']	['striated.muscle.cell']
158580	"Neuronopathy, Distal Hereditary Motor, Type Viia"	608761	SLC5A7	Slc5a7	1	1			0	0			
158590	"Neuronopathy, Distal Hereditary Motor, Type Iia"	608014	HSPB8	Hspb8	1	1			1	1		"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
158600	"Spinal Muscular Atrophy, Lower Extremity, Autosomal Dominant"	600112	DYNC1H1	Dync1h1	1	1	PS158600	"Spinal muscular atrophy, lower extremity-predominant"	1	1			
158810	Bethlem Myopathy	120250	COL6A3	Col6a3	1	1	PS158810	Bethlem myopathy	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158810	Bethlem Myopathy	120250	COL6A3	Col6a3	1	1	PS603511	"Muscular dystrophy, limb-girdle, autosomal dominant"	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158810	Bethlem Myopathy	120220	COL6A1	Col6a1	1	1	PS158810	Bethlem myopathy	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158810	Bethlem Myopathy	120220	COL6A1	Col6a1	1	1	PS603511	"Muscular dystrophy, limb-girdle, autosomal dominant"	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158810	Bethlem Myopathy	120240	COL6A2	Col6a2	1	1	PS158810	Bethlem myopathy	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158810	Bethlem Myopathy	120240	COL6A2	Col6a2	1	1	PS603511	"Muscular dystrophy, limb-girdle, autosomal dominant"	1	1	Yes	"['mesenchymal.stem.cell', 'tendon.cell']"	['skeletal.muscle.fibroblast..fibroblast']
158901	Facioscapulohumeral Muscular Dystrophy 2	614982	SMCHD1	Smchd1	1	1			1	1		['t.cell']	['T.helper.17.cell']
159900	Myoclonic Dystonia	604149	SGCE	Sgce	1	1	PS128100	Dystonia	1	1			
159950	Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy	613468	ASAH1	Asah1	1	1			1	1		"['macrophage', 'mast.cell']"	['macrophage']
160120	"Episodic Ataxia, Type 1"	176260	KCNA1	Kcna1	1	1	PS160120	Episodic ataxia	0	1		['macrophage']	
160150	"Myopathy, Centronuclear, Autosomal Dominant"	611089	MTMR14	Mtmr14	1	1	PS160150	"Myopathy, centronuclear"	1	1	Yes		
160150	"Myopathy, Centronuclear, Autosomal Dominant"	602378	DNM2	Dnm2	1	1	PS160150	"Myopathy, centronuclear"	1	1	Yes		
160500	"Myopathy, Distal 1"	160760	MYH7	Myh7	1	1			1	0			
160565	"Myopathy, Tubular Aggregate, 1"	605921	STIM1	Stim1	1	1	PS160565	"Myopathy, tubular aggregate"	1	0	Yes	['mature.nk.t.cell']	['T.helper.17.cell']
160800	"Myotonia Congenita, Autosomal Dominant"	118425	CLCN1	Clcn1	1	1			0	0			
160900	Dystrophia Myotonica 1	605377	DMPK	Dmpk	1	1	PS160900	Myotonic dystrophy	1	1	Yes	"['fast.muscle.cell', 'slow.muscle.cell']"	
161200	Nail-patella Syndrome	602575	LMX1B	Lmx1b	1	1			0	0			
161800	Nemaline Myopathy 3	102610	ACTA1	Acta1	1	1	PS161800	Nemaline myopathy	1	1	Yes	"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
162100	"Amyotrophy, Hereditary Neuralgic"	604061	SEPTIN9	Septin9	1	1			0	0			
162200	"Neurofibromatosis, Type I"	613113	NF1	Nf1	1	1			1	1			
162210	"Neurofibromatosis, Familial Spinal"	613113	NF1	Nf1	1	1			1	1			
162300	"Multiple Endocrine Neoplasia, Type Iib"	164761	RET	Ret	1	1	PS131100	Multiple endocrine neoplasia	0	1			
162400	"Neuropathy, Hereditary Sensory And Autonomic, Type Ia"	605712	SPTLC1	Sptlc1	1	1	PS162400	Hereditary sensory and autonomic neuropathy	1	1			
162500	"Neuropathy, Hereditary, With Liability To Pressure Palsies"	601097	PMP22	Pmp22	1	1			1	1		['macrophage']	
164200	Oculodentodigital Dysplasia	121014	GJA1	Gja1	1	1			1	1		"['capillary.endothelial.cell', 'endothelial.cell.of.vascular.tree']"	['blood.vessel.endothelial.cell']
164300	Oculopharyngeal Muscular Dystrophy	602279	PABPN1	Pabpn1	1	1			1	1			
164310	Oculopharyngodistal Myopathy 1	618299	LRP12	Lrp12	1	1	PS164310	Oculopharyngodistal myopathy	1	1			
164400	Spinocerebellar Ataxia 1	601556	ATXN1	Atxn1	1	1	PS164400	Spinocerebellar ataxia	1	1			
164500	"Spinocerebellar Ataxia 7 Opca Iii Opca With Retinal Degeneration Opca With Macular Degeneration And External Ophthalmoplegia Autosomal Dominant Cerebellar Ataxia, Type Ii Adca, Type Ii"	607640	ATXN7	Atxn7	1	1	PS164400	Spinocerebellar ataxia	0	1			
165500	Optic Atrophy 1	605290	OPA1	Opa1	1	1	PS165500	Optic atrophy	1	0			
166350	"Osseous Heteroplasia, Progressive"	139320	GNAS	Gnas	1	1			1	1		"['fast.muscle.cell', 'slow.muscle.cell']"	
166600	"Osteopetrosis, Autosomal Dominant 2"	602727	CLCN7	Clcn7	1	1	PS607634	"Osteopetrosis, autosomal dominant"	1	1		['macrophage']	
166700	Buschke-ollendorff Syndrome	607844	LEMD3	Lemd3	1	1			1	1		['cd8.positive..alpha.beta.t.cell']	
166780	Otofaciocervical Syndrome	601653	EYA1	Eya1	1	1	PS166780	Otofaciocervical syndrome	0	0			
167320	Inclusion Body Myopathy With Early-onset Paget Disease And Frontotemporal	601023	VCP	Vcp	1	1	PS167320	Inclusion body myopathy/Paget disease/frontotemporal dementia	1	1	Yes		
168300	Paramyotonia Congenita Of Von Eulenburg	603967	SCN4A	Scn4a	1	1			1	0			
168400	Parastremmatic Dwarfism	605427	TRPV4	Trpv4	1	1			0	1			
169400	Pelger-huet Anomaly	600024	LBR	Lbr	1	1			1	1		['mature.nk.t.cell']	
169500	"Leukodystrophy, Adult-onset, Autosomal Dominant"	150340	LMNB1	Lmnb1	1	1			1	1		"['cd8.positive..alpha.beta.t.cell', 't.cell']"	
170390	Andersen Cardiodysrhythmic Periodic Paralysis	600681	KCNJ2	Kcnj2	1	1	PS192500	Long QT syndrome	1	1		['endothelial.cell.of.artery']	
170400	"Hypokalemic Periodic Paralysis, Type 1"	114208	CACNA1S	Cacna1s	1	1			1	1	Yes	"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
170500	Hyperkalemic Periodic Paralysis	603967	SCN4A	Scn4a	1	1			1	0			
175700	Greig Cephalopolysyndactyly Syndrome	165240	GLI3	Gli3	1	1			1	1		['mesenchymal.stem.cell']	"['skeletal.muscle.fibroblast..fibroblast', 'skeletal.muscle.fibroblast..fibroblast.1']"
175780	Brain Small Vessel Disease 1 With Or Without Ocular Anomalies	120130	COL4A1	Col4a1	1	1	PS175780	Brain small vessel disease	1	1		['mesenchymal.stem.cell']	
176000	"Porphyria, Acute Intermittent"	609806	HMBS	Hmbs	1	1			1	1		['erythrocyte']	
176270	Prader-willi Syndrome	602117	NDN	Ndn	1	1			1	1		['mesenchymal.stem.cell']	['stromal.cell']
176270	Prader-willi Syndrome	182279	SNRPN	Snrpn	1	1			1	0		['mesenchymal.stem.cell']	['stromal.cell']
176500	"Dementia, Familial British"	603904	ITM2B	Itm2b	1	1			1	1		['endothelial.cell.of.vascular.tree']	
178110	"Contractures, Pterygia, And Spondylocarpostarsal Fusion Syndrome 1a"	160720	MYH3	Myh3	1	1	PS178110	"Contractures, pterygia, and variable skeletal fusions syndrome"	0	0			
179800	"Renal Tubular Acidosis, Distal, Autosomal Dominant"	109270	SLC4A1	Slc4a1	1	1	PS179800	Distal renal tubular acidosis	1	0			
180295	"Rhabdomyosarcoma, Embryonal, 2"	606241	DICER1	Dicer1	1	1			1	0			
180700	"Robinow Syndrome, Autosomal Dominant"	164975	WNT5A	Wnt5a	1	1	PS268310	Robinow syndrome	1	0		['slow.muscle.cell']	
180800	Roussy-levy Hereditary Areflexic Dystasia	159440	MPZ	Mpz	1	1			1	1			
180800	Roussy-levy Hereditary Areflexic Dystasia	601097	PMP22	Pmp22	1	1			1	1			
180849	Rubinstein-taybi Syndrome 1	600140	CREBBP	Crebbp	1	1	PS180849	Rubinstein-Taybi syndrome	1	1			
181350	"Emery-dreifuss Muscular Dystrophy, Autosomal Dominant"	150330	LMNA	Lmna	1	1	PS310300	Emery-Dreifuss muscular dystrophy	1	1	Yes		
181400	"Scapuloperoneal Syndrome, Neurogenic, Kaeser Type"	125660	DES	Des	1	1			1	1		"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
181405	Scapuloperoneal Spinal Muscular Atrophy	605427	TRPV4	Trpv4	1	1			0	1			
181430	"Scapuloperoneal Myopathy, Myh7-related"	160760	MYH7	Myh7	1	1			1	0			
182212	Shprintzen-goldberg Craniosynostosis Syndrome	164780	SKI	Ski	1	1			1	1		['t.cell']	
182250	Singleton-merten Syndrome	606951	IFIH1	Ifih1	1	1	PS182250	Singleton-Merten syndrome	1	1		['endothelial.cell.of.vascular.tree']	
182290	"Smith-magenis Syndrome Smith-magenis Chromosome Region, Included"	607642	RAI1	Rai1	1	1			1	1		['mature.nk.t.cell']	
182410	Sneddon Syndrome	607575	ADA2		1	1			1	0			
182600	"Spastic Paraplegia 3, Autosomal Dominant"	606439	ATL1	Atl1	1	1	PS303350	Spastic paraplegia	1	0			
182601	"Spastic Paraplegia 4, Autosomal Dominant"	604277	SPAST	Spast	1	1	PS303350	Spastic paraplegia	1	0			
182920	"Myopathy, Spheroid Body"	604103	MYOT	Myot	1	1	PS601419	"Myopathy, myofibrillar"	1	1	Yes	"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
182980	"Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominantspinal Muscular Atrophy, Late-onset, Finkel Type, Included"	605704	VAPB	Vapb	1	1			1	1		['fast.muscle.cell']	['striated.muscle.cell']
183090	Spinocerebellar Ataxia 2	601517	ATXN2	Atxn2	1	1	PS105400	Amyotrophic lateral sclerosis	1	1			
183090	Spinocerebellar Ataxia 2	601517	ATXN2	Atxn2	1	1	PS164400	Spinocerebellar ataxia	1	1			
183900	Spondyloepiphyseal Dysplasia Congenita	120140	COL2A1	Col2a1	1	1			0	1			
184900	Stiff Skin Syndrome	134797	FBN1	Fbn1	1	1			1	1		['mesenchymal.stem.cell']	['skeletal.muscle.fibroblast..fibroblast.1']
185070	Stormorken Syndrome	605921	STIM1	Stim1	1	1			1	0			
186000	Synpolydactyly 1	142989	HOXD13	Hoxd13	1	1			0	0			
186300	"Syndactyly, Type V"	142989	HOXD13	Hoxd13	1	1			0	0			
186580	Blau Syndrome	605956	NOD2	Nod2	1	1			1	1		['macrophage']	
188400	Digeorge Syndrome	602054	TBX1	Tbx1	1	1			1	1		['endothelial.cell.of.lymphatic.vessel']	['endothelial.cell.of.lymphatic.vessel']
188580	"Thyrotoxic Periodic Paralysis, Susceptibility To, 1"	114208	CACNA1S	Cacna1s	1	1	PS188580	Thyrotoxic periodic paralysis	1	1		"['fast.muscle.cell', 'slow.muscle.cell']"	['striated.muscle.cell']
190350	"Trichorhinophalangeal Syndrome, Type I"	604386	TRPS1	Trps1	1	1	PS190350	Trichorhinophalangeal syndrome	1	1		['macrophage']	['monocyte.derived.dendritic.cell']
191100	Tuberous Sclerosis-1	605284	TSC1	Tsc1	1	1	PS191100	Tuberous sclerosis	1	0			
193100	"Hypophosphatemic Rickets, Autosomal Dominant"	605380	FGF23	Fgf23	1	1	PS193100	Hypophosphatemic rickets	0	0			
193700	"Arthrogryposis, Distal, Type 2a"	160720	MYH3	Myh3	1	1	PS108120	"Arthrogryposis, distal"	0	0		['fast.muscle.cell']	['striated.muscle.cell']
194080	Denys-drash Syndrome	607102	WT1	Wt1	1	1			1	0			
200150	Choreoacanthocytosis	605978	VPS13A	Vps13a	1	1			1	1			
200700	"Chondrodysplasia, Grebe Type"	601146	GDF5	Gdf5	1	1			0	0			
200990	Acrocallosal Syndrome	611254	KIF7	Kif7	1	1	PS213300	Joubert syndrome	0	0			
201000	Carpenter Syndrome	606144	RAB23	Rab23	1	1	PS201000	Carpenter syndrome	0	1			
